Internal gene ID,Vectorbase Identifier,OrthoDB category,OrthoDB D. mel ,Display name,Gene family,Gene subfamily,Name evidence
gene12803,AAEL012736,EOG844PBZ,RpL15,,,,
gene12804,AAEL012739,NA,NA,,,,
gene12805,AAEL012738,NA,NA,,,,
gene12806,AAEL012743,EOG8CJZ7K,Dhap-at,,,,
gene12807,AAEL012735,EOG8B8N4F,Cdc27,,,,
gene12808,AAEL012741,EOG8BP43P,CG5466,,,,
gene12809,AAEL012742,NA,NA,,,,
gene1281,AAEL002222,NA,NA,,,,
gene12810,AAEL012744,EOG8XH2Q9,CG17360,,,,
gene12811,AAEL012734,EOG82RH07,CG9723,,,,
gene12812,AAEL012740,EOG87SW6S,ATPsynC,,,,
gene12813,AAEL012737,EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF-EOG87M4PF,CG16723-CG14204-CG33337-CG14205-CG10183-CG42329-CG3106-CG10182-CG14219-CG5892,,,,
gene12814,AAEL011492,EOG86DPV9,CG4660,,,,
gene12818,AAEL016971,EOG83BQD0,ndl,,,,
gene1282,AAEL002225,EOG88SKM0,CG32147,,,,
gene12820,AAEL011483,EOG8962JB-EOG8962JB,Obp50c-Obp50d,,,,
gene12821,AAEL011497,EOG8962JB-EOG8962JB,Obp50d-Obp50c,,,,
gene12822,AAEL011493,EOG8T1MCP,CG4935,,,,
gene12823,AAEL011498,EOG8FFGTK,Sod,,,,
gene12824,AAEL011495,EOG88WFSG,tna,,,,
gene12826,AAEL011489,EOG8PRWHC,Obp93a,,,,
gene12827,AAEL011496,EOG8HQH96,CG8460,,,,
gene12829,AAEL011486,NA,NA,,,,
gene1283,AAEL002193,NA,NA,,,,
gene12830,AAEL011488,EOG8P2STF,CG15629,,,,
gene12833,AAEL014241,NA,NA,,,,
gene12834,AAEL014245,NA,NA,,,,
gene12835,AAEL014239,NA,NA,,,,
gene12836,AAEL014240,NA,NA,,,,
gene12838,AAEL014242,NA,NA,,,,
gene12839,AAEL014246,EOG8J6VGJ,CG15661,,,,
gene1284,AAEL002246,NA,NA,,,,
gene12840,AAEL014244,EOG8J6VGJ,CG15661,,,,
gene12841,AAEL014243,NA,NA,,,,
gene12842,AAEL008721,EOG8H48VZ,CG2202,,,,
gene12843,AAEL008722,NA,NA,,,,
gene12844,AAEL008718,EOG8N075R-EOG8N075R,CG8931-CG5755,,,,
gene12845,AAEL008719,EOG82VC8H,SNRPG,,,,
gene12846,AAEL008720,EOG83V2N7,bs,,,,
gene12847,AAEL008716,EOG8DZ4MR,CG13773,,,,
gene12848,AAEL008717,NA,NA,,,,
gene12849,AAEL011933,NA,NA,,,,
gene1285,AAEL002180,NA,NA,,,,
gene12850,AAEL011936,NA,NA,,,,
gene12851,AAEL011934,EOG8W3WDG,GstZ2,,,,
gene12852,AAEL011930,NA,NA,,,,
gene12853,AAEL011935,NA,NA,,,,
gene12854,AAEL011931,NA,NA,,,,
gene12855,AAEL007634,EOG8VT8Q6,CG31460,,,,
gene12856,AAEL017280,EOG8JDKZ7,osa,,,,
gene12857,AAEL007636,NA,NA,,,,
gene12858,RU147,NA,NA,,,,
gene12859,AAEL007633,EOG8STVW2,CRMP,,,,
gene1286,AAEL002206,NA,NA,,,,
gene12860,AAEL007635,EOG86MFB5,CG3500,,,,
gene12861,AAEL007637,EOG81G5VQ,Kat60,,,,
gene12862,AAEL015680,NA,NA,,,,
gene12863,AAEL003821AAEL003848,NA,NA,,,,
gene12864,AAEL003864,EOG8G4KGR,Ude,,,,
gene12865,AAEL003828,EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP,His3:CG33857-His3:CG33803-His3:CG33866-His3:CG33827-His3:CG31613-His3:CG33845-His3:CG33851-His3.3B-His3:CG33824-His3:CG33812-His3:CG33833-His3:CG33818-His3.3A-His3:CG33854-His3:CG33815-His3:CG33842-His3:CG33863-His3:CG33821-His3:CG33809-His3:CG33806-His3:CG33848-His3:CG33839-His3:CG33830-His3:CG33860-His3:CG33836,,,,
gene12866,AAEL003844,NA,NA,,,,
gene12867,AAEL003815,NA,NA,,,,
gene12868,AAEL003855,EOG8XPT63,fliI,,,,
gene12869,AAEL003826,EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P,His2A:CG33829-His2A:CG33808-His2A:CG33838-His2A:CG33853-His2A:CG33844-His2Av-His2A:CG33841-His2A:CG33859-His2A:CG33832-His2A:CG33826-His2A:CG33850-His2A:CG33817-His2A:CG33856-His2A:CG33847-His2A:CG33862-His2A:CG33823-His2A:CG31618-His2A:CG33835-His2A:CG33814-His2A:CG33820-His2A:CG33865,,,,
gene1287,AAEL002217,EOG8Z65DB,CG7179,,,,
gene12870,AAEL003850,EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP,His3:CG33836-His3:CG33818-His3:CG33848-His3:CG33824-His3.3B-His3:CG33806-His3:CG33821-His3:CG33830-His3:CG33857-His3:CG33803-His3:CG31613-His3:CG33827-His3:CG33842-His3:CG33845-His3:CG33863-His3:CG33812-His3.3A-His3:CG33866-His3:CG33833-His3:CG33839-His3:CG33854-His3:CG33809-His3:CG33860-His3:CG33815-His3:CG33851,,,,
gene12871,AAEL003849,EOG83JFXS,Def,,,,
gene12872,AAEL003832,EOG83JFXS,Def,,,,
gene12873,AAEL003834,EOG8JT2XP-EOG8JT2XP,CG6763-CG5715,,,,
gene12874,AAEL003858,EOG81G5X6,CG17680,,,,
gene12875,AAEL015681,NA,NA,,,,
gene12876,AAEL003819,EOG8HX7RM,Atg1,,,,
gene12877,AAEL003829,EOG870X7M,Opa1,,,,
gene12878,AAEL003863,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33881-His4:CG33887-His4:CG33871-His4:CG33875-His4:CG33907-His4:CG33893-His4:CG33899-His4:CG33879-His4:CG33903-His4:CG33883-His4:CG33897-His4:CG33905-His4:CG33885-His4:CG33895-His4:CG33873-His4:CG31611-His4r-His4:CG33891-His4:CG33889-His4:CG33869-His4:CG33877-His4:CG33909-His4:CG33901,,,,
gene12879,AAEL003825,EOG81NXD0,CG13919,,,,
gene1288,AAEL002190,EOG8MPMFP,CG4619,,,,
gene12880,AAEL003836,EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP,His3:CG33866-His3:CG31613-His3:CG33839-His3:CG33803-His3:CG33824-His3:CG33848-His3:CG33827-His3:CG33851-His3:CG33857-His3:CG33836-His3:CG33833-His3:CG33821-His3:CG33830-His3:CG33842-His3:CG33854-His3:CG33809-His3:CG33845-His3:CG33806-His3:CG33860-His3:CG33812-His3:CG33815-His3:CG33818-His3.3A-His3:CG33863-His3.3B,,,,
gene12881,AAEL003830,NA,NA,,,,
gene12882,AAEL003831,EOG8BGCMV,fa2h,,,,
gene12883,AAEL003816,NA,NA,,,,
gene12884,AAEL003839,EOG8SN4D6,CG9004,,,,
gene12885,AAEL003846,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33871-His4:CG33901-His4:CG33879-His4:CG33905-His4:CG33883-His4:CG33903-His4:CG33881-His4:CG33869-His4:CG33891-His4:CG33877-His4:CG31611-His4:CG33873-His4:CG33899-His4:CG33897-His4:CG33907-His4:CG33909-His4:CG33893-His4:CG33875-His4r-His4:CG33889-His4:CG33887-His4:CG33895-His4:CG33885,,,,
gene12886,AAEL003852,EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP,His3:CG33851-His3:CG33863-His3:CG33824-His3:CG33806-His3:CG33827-His3.3A-His3:CG33818-His3:CG33857-His3:CG33812-His3:CG33830-His3:CG33839-His3.3B-His3:CG33821-His3:CG33860-His3:CG33833-His3:CG33866-His3:CG33836-His3:CG33848-His3:CG33842-His3:CG33845-His3:CG33809-His3:CG33854-His3:CG33803-His3:CG33815-His3:CG31613,,,,
gene12887,AAEL003856,EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP,His3:CG33818-His3:CG33851-His3:CG33836-His3:CG33845-His3:CG33806-His3:CG33842-His3:CG33827-His3:CG31613-His3:CG33848-His3:CG33866-His3.3B-His3:CG33833-His3:CG33863-His3.3A-His3:CG33857-His3:CG33821-His3:CG33824-His3:CG33809-His3:CG33830-His3:CG33839-His3:CG33815-His3:CG33803-His3:CG33860-His3:CG33854-His3:CG33812,,,,
gene12888,AAEL003827,EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP-EOG88WFSP,His3:CG33806-His3:CG33848-His3:CG33863-His3:CG31613-His3:CG33845-His3.3B-His3:CG33860-His3:CG33818-His3:CG33854-His3.3A-His3:CG33857-His3:CG33836-His3:CG33824-His3:CG33851-His3:CG33842-His3:CG33809-His3:CG33812-His3:CG33827-His3:CG33866-His3:CG33803-His3:CG33821-His3:CG33833-His3:CG33830-His3:CG33839-His3:CG33815,,,,
gene12889,AAEL003822,EOG8BVVK5,CG13126,,,,
gene1289,AAEL002185,NA,NA,,,,
gene12890,AAEL003843,NA,NA,,,,
gene12891,AAEL003823,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33891-His4:CG33887-His4:CG33889-His4:CG33893-His4:CG33879-His4:CG33877-His4:CG33899-His4:CG31611-His4r-His4:CG33869-His4:CG33903-His4:CG33883-His4:CG33881-His4:CG33905-His4:CG33909-His4:CG33885-His4:CG33871-His4:CG33873-His4:CG33901-His4:CG33897-His4:CG33907-His4:CG33875-His4:CG33895,,,,
gene12892,AAEL003859,EOG86T5SN,CG42709,,,,
gene12893,AAEL003847,EOG8M689W,CG14701,,,,
gene12894,AAEL003845,EOG8WQ3TT,pnt,,,,
gene12895,AAEL003851,EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P,His2A:CG33826-His2A:CG33847-His2Av-His2A:CG33844-His2A:CG33865-His2A:CG33829-His2A:CG33850-His2A:CG33814-His2A:CG33862-His2A:CG33823-His2A:CG33817-His2A:CG33820-His2A:CG33856-His2A:CG31618-His2A:CG33808-His2A:CG33853-His2A:CG33838-His2A:CG33835-His2A:CG33841-His2A:CG33859-His2A:CG33832,,,,
gene12896,AAEL003865,NA,NA,,,,
gene12897,AAEL015679,NA,NA,,,,
gene12898,AAEL003833,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33891-His4:CG33871-His4r-His4:CG33881-His4:CG33907-His4:CG33875-His4:CG33883-His4:CG33877-His4:CG33901-His4:CG33885-His4:CG33869-His4:CG31611-His4:CG33905-His4:CG33899-His4:CG33887-His4:CG33873-His4:CG33903-His4:CG33897-His4:CG33909-His4:CG33895-His4:CG33889-His4:CG33893-His4:CG33879,,,,
gene12899,AAEL003820,EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P,His2A:CG33844-His2A:CG33850-His2A:CG33853-His2Av-His2A:CG33859-His2A:CG33838-His2A:CG33832-His2A:CG33829-His2A:CG33835-His2A:CG31618-His2A:CG33841-His2A:CG33862-His2A:CG33817-His2A:CG33808-His2A:CG33865-His2A:CG33856-His2A:CG33826-His2A:CG33820-His2A:CG33823-His2A:CG33847-His2A:CG33814,,,,
gene129,AAEL003013,EOG80CM7W,Mkk4,,,,
gene1290,AAEL002187,NA,NA,,,,
gene12900,AAEL003860,EOG8W114K,CG43066,,,,
gene12901,AAEL003841,EOG83JFXS,Def,,,,
gene12902,AAEL015678,NA,NA,,,,
gene12903,AAEL003866,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33883-His4:CG33877-His4:CG33897-His4:CG33885-His4:CG33881-His4r-His4:CG33889-His4:CG33879-His4:CG33905-His4:CG33869-His4:CG33875-His4:CG33893-His4:CG33907-His4:CG33903-His4:CG33887-His4:CG33895-His4:CG33873-His4:CG31611-His4:CG33901-His4:CG33899-His4:CG33891-His4:CG33909-His4:CG33871,,,,
gene12904,AAEL003814,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33889-His4:CG33875-His4:CG33901-His4:CG33903-His4r-His4:CG33893-His4:CG33881-His4:CG33905-His4:CG33891-His4:CG33907-His4:CG33879-His4:CG33869-His4:CG33897-His4:CG31611-His4:CG33887-His4:CG33899-His4:CG33885-His4:CG33877-His4:CG33909-His4:CG33871-His4:CG33873-His4:CG33883-His4:CG33895,,,,
gene12905,AAEL003842,NA,NA,,,,
gene12906,AAEL003857,EOG83JFXS,Def,,,,
gene12907,AAEL003861,EOG8S7NFQ,chinmo,,,,
gene12908,AAEL003837,EOG8ZCWVM,RyR,,,,
gene12909,AAEL003838,EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N-EOG886C5N,His4:CG33903-His4r-His4:CG33899-His4:CG33881-His4:CG33905-His4:CG33871-His4:CG33891-His4:CG33907-His4:CG33875-His4:CG33901-His4:CG33889-His4:CG33869-His4:CG33893-His4:CG33887-His4:CG33897-His4:CG33885-His4:CG33883-His4:CG33879-His4:CG33895-His4:CG33873-His4:CG33909-His4:CG33877-His4:CG31611,,,,
gene1291,AAEL002219,EOG8FBMK7,Dnz1,,,,
gene12910,AAEL003840,NA,NA,,,,
gene12911,AAEL003818,EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P,His2A:CG33814-His2Av-His2A:CG33859-His2A:CG33847-His2A:CG33856-His2A:CG33823-His2A:CG33853-His2A:CG33838-His2A:CG33817-His2A:CG33835-His2A:CG33841-His2A:CG33832-His2A:CG33808-His2A:CG33862-His2A:CG31618-His2A:CG33865-His2A:CG33829-His2A:CG33844-His2A:CG33850-His2A:CG33826-His2A:CG33820,,,,
gene12912,AAEL003862,EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P-EOG8FXV1P,His2A:CG33832-His2A:CG33814-His2A:CG33862-His2A:CG31618-His2A:CG33838-His2A:CG33808-His2A:CG33844-His2A:CG33853-His2A:CG33859-His2A:CG33826-His2A:CG33850-His2A:CG33829-His2A:CG33820-His2A:CG33823-His2A:CG33865-His2A:CG33847-His2A:CG33841-His2A:CG33856-His2Av-His2A:CG33835-His2A:CG33817,,,,
gene12913,AAEL003835,EOG8QZBCM,eIF-5A,,,,
gene12914,AAEL003817,EOG8HB1C0,kappaB-Ras,,,,
gene12915,AAEL003853,EOG8BS09V-EOG8BS09V,hbs-sns,,,,
gene12916,AAEL003824,EOG80KBQQ,pcs,,,,
gene12917,AAEL004908,NA,NA,,,,
gene12918,AAEL004911,EOG812PWT,Gem3,,,,
gene12919,AAEL004901,NA,NA,,,,
gene1292,AAEL002207,EOG8H48WS,Apf,,,,
gene12920,AAEL004899,NA,NA,,,,
gene12921,AAEL004900,EOG8W3WD3,qm,,,,
gene12922,AAEL004906,NA,NA,,,,
gene12923,AAEL004914,EOG8XD6HQ,Srp19,,,,
gene12924,AAEL004907,EOG8Z65DW,CG32040,,,,
gene12925,AAEL004916,EOG8H7532,Hsepi,,,,
gene12926,AAEL004902,EOG8ZW83R,Rab2,,,,
gene12927,AAEL004905,EOG8R26K8,CG3409,,,,
gene12928,AAEL004897,EOG8PP176,Cht7,,,,
gene12929,AAEL004894,NA,NA,,,,
gene1293,AAEL002196,NA,NA,,,,
gene12930,AAEL004898,EOG854CR0-EOG854CR0,PVRAP-CG33993,,,,
gene12931,AAEL017117,NA,NA,,,,
gene12932,AAEL004895,NA,NA,,,,
gene12933,AAEL004913,EOG8KH5MM,Arf51F,,,,
gene12934,AAEL004910,EOG8XH2R6,PGAP3,,,,
gene12935,AAEL004904,NA,NA,,,,
gene12936,AAEL004915,NA,NA,,,,
gene12937,AAEL004896,EOG81NXBF,Elp2,,,,
gene12938,AAEL004912,NA,NA,,,,
gene12939,AAEL004903,EOG84QWST,CG13675,,,,
gene1294,AAEL002240,EOG8B5RWW,Stam,,,,
gene12940,AAEL004909,NA,NA,,,,
gene12941,AAEL007361,NA,NA,,,,
gene12942,AAEL007356,EOG8BZQTM,CG11980,,,,
gene12943,AAEL007357,EOG8S1X0P,CG7168,,,,
gene12944,AAEL007352,NA,NA,,,,
gene12946,AAEL007364,EOG8G7FQD,CG10898,,,,
gene12947,AAEL007359,EOG8M687S,CG34357,,,,
gene12948,AAEL018139,NA,NA,,,,
gene12949,AAEL007360,EOG8BS0B3,Scm,,,,
gene1295,AAEL002198,EOG8S7NGS,CG9662,,,,
gene12950,AAEL007350,EOG8DV8CG,Hr83,,,,
gene12951,AAEL007355,EOG818FF3,mRpS18A,,,,
gene12952,AAEL007353,EOG82Z7FG,Cul5,,,,
gene12953,AAEL007351,EOG8Q5CFT,CG2046,,,,
gene12954,AAEL007354,EOG87WRDG,CG4159,,,,
gene12955,AAEL007363,EOG8SJ85V,CG6959,,,,
gene12956,AAEL011711,EOG8XKZ0N,Nacalpha,,,,
gene12957,AAEL011708,EOG8DNHVZ,Hsp83,,,,
gene12958,AAEL011713,EOG847JKX,CG10581,,,,
gene12959,AAEL011710,EOG87WRFJ,CG14464,,,,
gene1296,AAEL002234,NA,NA,,,,
gene12960,AAEL011700,EOG8G7FQP,PIG-C,,,,
gene12961,AAEL011704,EOG8DNHVZ,Hsp83,,,,
gene12962,AAEL011706,NA,NA,,,,
gene12963,AAEL011707,NA,NA,,,,
gene12964,AAEL011714,EOG8M94GZ,Wsck,,,,
gene12965,AAEL011705,NA,NA,,,,
gene12966,AAEL011701,EOG8N075S,Sin,,,,
gene12967,AAEL011712,EOG8FTZS0,Dgk,,,,
gene12968,AAEL011709,EOG8V19RC,Dgkepsilon,,,,
gene12969,AAEL011715,EOG8GTP58,Nse1,,,,
gene1297,AAEL002224,NA,NA,,,,
gene12970,AAEL011702,EOG815K66,RYa,,,,
gene12971,AAEL011703,EOG8WT02F,CG8080,,,,
gene12972,AAEL001526,EOG8KSS95,cg,,,,
gene12973,AAEL001530,NA,NA,,,,
gene12974,AAEL001508,NA,NA,,,,
gene12975,AAEL001537,EOG866ZCF,BI-1,,,,
gene12977,AAEL001525,EOG8X3KRW-EOG8X3KRW,Gga-Gga,,,,
gene12978,AAEL001521,EOG82NMRK,Buffy,,,,
gene12979,AAEL001514,NA,NA,,,,
gene1298,AAEL002210AAEL002236,NA,NA,,,,
gene12980,AAEL001536,EOG847JKC,mbl,,,,
gene12981,AAEL001529,NA,NA,,,,
gene12982,AAEL001532,EOG81G5X2,CG15309,,,,
gene12983,AAEL001515,EOG8J9QR8,Debcl,,,,
gene12984,AAEL001522,EOG86HK2F,CG13196,,,,
gene12985,AAEL001511,NA,NA,,,,
gene12986,AAEL001533,NA,NA,,,,
gene12987,AAEL001535,NA,NA,,,,
gene12988,AAEL001534,NA,NA,,,,
gene12989,AAEL001519,NA,NA,,,,
gene1299,AAEL002228,EOG8W1147-EOG8W1147-EOG8W1147,FASN1-FASN2-FASN3,,,,
gene12990,AAEL001520,NA,NA,,,,
gene12991,AAEL001528,NA,NA,,,,
gene12992,AAEL001531,NA,NA,,,,
gene12993,AAEL001513,EOG8K6JVF,Oseg4,,,,
gene12994,AAEL001516,EOG8C2M1Q,Sec31,,,,
gene12995,AAEL001524,EOG8SXR4T,Rab23,,,,
gene12996,AAEL001518,EOG8PP17P-EOG8PP17P,CG17098-CG1231,,,,
gene12997,AAEL001527,EOG847JKC,mbl,,,,
gene12998,AAEL001512,NA,NA,,,,
gene12999,AAEL001517,NA,NA,,,,
gene13,AAEL009970,EOG81VNTH,CG42249,,,,
gene130,AAEL003006,EOG8GF668,Gs1l,,,,
gene1300,AAEL002204,EOG8W1147-EOG8W1147-EOG8W1147,FASN2-FASN1-FASN3,,,,
gene13000,AAEL017047,NA,NA,,,,
gene13001,AAEL001507,EOG8K3PMK,CG8841,,,,
gene13002,AAEL001509,NA,NA,,,,
gene13003,AAEL012936,EOG8DZ4MS,CG9853,,,,
gene13004,AAEL012932,EOG8NKFMS,CG34195,,,,
gene13005,AAEL012940,NA,NA,,,,
gene13006,AAEL012938,NA,NA,,,,
gene13007,AAEL012935,EOG83JFVZ,ssh,,,,
gene13008,AAEL012939,EOG80P710,CG5010,,,,
gene13009,AAEL012933,NA,NA,,,,
gene1301,AAEL002194,EOG8BVVKR,Uro,,,,
gene13010,AAEL012941,EOG8CJZ86,CG9855,,,,
gene13011,AAEL012931,EOG8Z91NX,CG12056,,,,
gene13012,AAEL012937,NA,NA,,,,
gene13013,AAEL014499,EOG8V728D,CG31922,,,,
gene13014,AAEL014498,EOG8Z3966,Rrp40,,,,
gene13015,AAEL014500,EOG8Q87NR,CG10413,,,,
gene13016,AAEL015000,EOG8R7Z2J,Eip63E,,,,
gene13017,AAEL014080,EOG8KSS9G,CG31075,,,,
gene13019,AAEL007435,NA,NA,,,,
gene1302,AAEL002230,EOG8W9MV3,kis,,,,
gene13020,AAEL007440,NA,NA,,,,
gene13021,AAEL007445,NA,NA,,,,
gene13022,AAEL007443,EOG8BP43X,Stlk,,,,
gene13023,AAEL007437,NA,NA,,,,
gene13024,AAEL007442,EOG8PVRQC,CG9003,,,,
gene13025,AAEL017387,NA,NA,,,,
gene13026,AAEL007436,NA,NA,,,,
gene13027,AAEL007447,NA,NA,,,,
gene13028,AAEL007452,EOG883GWF,CG13124,,,,
gene13029,AAEL007450,EOG81K24C,odd,,,,
gene1303,AAEL002215,EOG8FBMJ8,CG7154,,,,
gene13030,AAEL007453,EOG8SJ85X-EOG8SJ85X,bowl-sob,,,,
gene13031,AAEL007441,EOG84F92G,CG5885,,,,
gene13032,AAEL007434,NA,NA,,,,
gene13033,AAEL007448,EOG8VQDDN,CG11319,,,,
gene13034,AAEL007444,EOG8JMBGP,CG18619,,,,
gene13035,AAEL007449,NA,NA,,,,
gene13036,AAEL007446,NA,NA,,,,
gene13037,AAEL007451,EOG8Q5CF4,CG9945,,,,
