"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene1178","gene1178","supercont1.485;supercont1.485;supercont1.485;supercont1.485","364442;367178;373204;378844","366562;367544;373232;378884","-;-;-;-",2558,"AAEL010541",NA,NA,NA,NA,NA,"","",""
"gene11780","gene11780","supercont1.393;supercont1.393;supercont1.393","578297;578924;589240","578862;579171;590978","+;+;+",2553,"AAEL009382","FBpp0070616","FBgn0266570","CG2982","CG2982","EOG8FFGSD","","",""
"gene11781","gene11781","supercont1.393;supercont1.393","1104082;1104793","1104724;1105409","-;-",1260,"AAEL009378","FBpp0112103","FBgn0037229","CG9766","CG9766","EOG8VX4XH","","",""
"gene11782","gene11782","supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393","690802;710805;711023;711227;792635","690891;710957;711151;711334;792709","-;-;-;-;-",555,"AAEL009377","FBpp0072746","FBgn0004636","CG1956","Rap1","EOG8XWJQK","","",""
"gene11783","gene11783","supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393","603442;605064;615544;618006;643947;644872;645073;645217;645377;645598;668458;668623;677682;677802","604295;605344;617942;618264;644812;645005;645148;645311;645538;645763;668559;671908;677741;677822","+;+;+;+;+;+;+;+;+;+;+;+;+;+",8761,"AAEL009372","FBpp0073444","FBgn0030336","CG1578","CG1578","EOG8Z65D0","","",""
"gene11784","gene11784","supercont1.393;supercont1.393","578058;578220","578159;579026","-;-",909,"AAEL009379","FBpp0070623","FBgn0040907","CG3712","mRpL33","EOG83JFZ2","","",""
"gene11785","gene11785","supercont1.393","213194","214763","-",1570,"AAEL009374","FBpp0081828","FBgn0037880","CG17726","CG17726","EOG8QRKW5","","",""
"gene11786","gene11786","supercont1.393;supercont1.393","934498;936684","936624;937229","-;-",2673,"AAEL009383","FBpp0070402","FBgn0000377","CG3193","crn","EOG83XXTZ","","",""
"gene11787","gene11787","supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393;supercont1.393","333062;404390;415296;428322;446680;461306;508180;534250;534560;534779;535015;535379;535627;537090;537511;558218","333711;404729;415513;428381;446817;461385;508259;534494;534719;534945;535319;535543;537032;537450;538708;559277","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",6633,"AAEL009380","FBpp0310196","FBgn0262738","CG3620","norpA","EOG8R52T0","","",""
"gene11788","gene11788","supercont1.393;supercont1.393;supercont1.393;supercont1.393","266598;267064;267229;267894","266990;267162;267831;268364","+;+;+;+",1566,"AAEL009384","FBpp0078910-FBpp0302640-FBpp0300934-FBpp0071674-FBpp0074269-FBpp0290150-FBpp0307845-FBpp0071364-FBpp0310276","FBgn0031804-FBgn0033312-FBgn0034160-FBgn0050281-FBgn0030880-FBgn0050280-FBgn0030164-FBgn0030163-FBgn0051832","CG9500-CG8642-CG5550-CG30281-CG6788-CG30280-CG1889-CG1791-CG31832","CG9500-CG8642-CG5550-CG30281-CG6788-CG30280-CG1889-CG1791-CG31832","EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154","","",""
"gene11789","gene11789","supercont1.393;supercont1.393","687958;690445","690379;690604","-;-",2582,"AAEL009386",NA,NA,NA,NA,NA,"","",""
"gene1179","gene1179","supercont1.485;supercont1.485;supercont1.485","99495;99872;101113","99768;100312;101559","+;+;+",1162,"AAEL010535","FBpp0087806","FBgn0033317","CG8635","CG8635","EOG8BCHD6","","",""
"gene11790","gene11790","supercont1.393;supercont1.393","1006725;1008018","1007923;1008182","-;-",1364,"AAEL009376","FBpp0070444","FBgn0001150","CG7952","gt","EOG89KJGH","","",""
"gene11791","gene11791","supercont1.393;supercont1.393","932640;933264","933187;933874","+;+",1159,"AAEL009373","FBpp0304758","FBgn0031043","CG14222","NAA20","EOG8KWNKD","","",""
"gene11792","gene11792","supercont1.922;supercont1.922","586;950","885;2335","+;+",1686,"AAEL013796",NA,NA,NA,NA,NA,"","",""
"gene11793","gene11793","supercont1.922;supercont1.922","243128;253941","243995;258831","-;-",5759,"AAEL013793",NA,NA,NA,NA,NA,"","",""
"gene11794","gene11794","supercont1.922;supercont1.922","180500;180870","180584;181276","+;+",492,"AAEL013792",NA,NA,NA,NA,NA,"","",""
"gene11795","gene11795","supercont1.922;supercont1.922;supercont1.922","17883;21549;21647","21461;21638;21872","-;-;-",3895,"AAEL013795","FBpp0070859","FBgn0015818","CG3780","Spx","EOG8WHCC6","","",""
"gene11796","gene11796","supercont1.922;supercont1.922;supercont1.922;supercont1.922;supercont1.922;supercont1.922;supercont1.922;supercont1.922;supercont1.922;supercont1.922","33860;35823;36087;36408;36998;100069;100407;100651;121536;122589","35765;36029;36350;36941;37183;100326;100592;102145;122204;123445","-;-;-;-;-;-;-;-;-;-",6562,"AAEL018266",NA,NA,NA,NA,NA,"","",""
"gene11797","gene11797","supercont1.922;supercont1.922;supercont1.922","1181;2650;3400","2594;3037;3706","-;-;-",2109,"AAEL013790","FBpp0076601","FBgn0028648","CG8612","mRpL50","EOG8FXV11","","",""
"gene11798","gene11798","supercont1.1320;supercont1.1320;supercont1.1320;supercont1.1320;supercont1.1320;supercont1.1320;supercont1.1320","66356;66461;77083;120126;124007;124180;129330","66401;66497;77168;120171;124018;124615;129698","+;+;+;+;+;+;+",1032,"AAEL014878","FBpp0075283-FBpp0079448","FBgn0000489-FBgn0000273","CG6117-CG4379","Pka-C3-Pka-C1","EOG8BP43T-EOG8BP43T","","",""
"gene11799","gene11799","supercont1.1577;supercont1.1577;supercont1.1577;supercont1.1577;supercont1.1577;supercont1.1577;supercont1.1577;supercont1.1577;supercont1.1577","13114;13318;13877;14049;32743;33247;33468;33731;34582","13249;13808;13983;14112;33180;33408;33657;34301;35347","+;+;+;+;+;+;+;+;+",2925,"AAEL015201",NA,NA,NA,NA,NA,"","",""
"gene118","gene118","supercont1.74;supercont1.74;supercont1.74;supercont1.74;supercont1.74;supercont1.74","2065677;2066411;2066590;2080610;2080803;2081236","2066302;2066523;2066973;2080743;2081176;2082383","+;+;+;+;+;+",2779,"AAEL002985","FBpp0084580","FBgn0039525","CG5646","CG5646","EOG8P8J96","","",""
"gene1180","gene1180","supercont1.485;supercont1.485;supercont1.485","466984;475378;475725","467896;475662;476971","+;+;+",2445,"AAEL010532","FBpp0087831-FBpp0087837-FBpp0079859-FBpp0087838-FBpp0087827-FBpp0312227-FBpp0079860-FBpp0087828-FBpp0087836","FBgn0033297-FBgn0002571-FBgn0032381-FBgn0002570-FBgn0033294-FBgn0050360-FBgn0032382-FBgn0050359-FBgn0033296","CG8690-CG8695-CG14934-CG8696-CG8693-CG30360-CG14935-CG30359-CG11669","Mal-A8-Mal-A3-Mal-B1-Mal-A1-Mal-A4-Mal-A6-Mal-B2-Mal-A5-Mal-A7","EOG8G4KFX-EOG8G4KFX-EOG8G4KFX-EOG8G4KFX-EOG8G4KFX-EOG8G4KFX-EOG8G4KFX-EOG8G4KFX-EOG8G4KFX","","",""
"gene11800","gene11800","supercont1.1577;supercont1.1577","34876;39300","35346;39326","-;-",498,"AAEL015202","FBpp0080407","FBgn0015338","CG5861","CG5861","EOG83NB52","","",""
"gene11801","gene11801","supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045","147252;180261;181272;189286;200125;200427","147481;181170;181357;189393;200342;201964","+;+;+;+;+;+",3090,"AAEL014229",NA,NA,NA,NA,NA,"","",""
"gene11802","gene11802","supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045","69472;70424;70848;71504;74903","70363;70786;71447;71994;74979","-;-;-;-;-",2423,"AAEL014233",NA,NA,NA,NA,NA,"","",""
"gene11803","gene11803","supercont1.1045;supercont1.1045;supercont1.1045","81563;81926;82673","81740;82607;83809","+;+;+",1997,"AAEL014232",NA,NA,NA,NA,NA,"","",""
"gene11804","gene11804","supercont1.1045;supercont1.1045;supercont1.1045","143491;146209;147217","146151;147156;148434","-;-;-",4827,"AAEL014228",NA,NA,NA,NA,NA,"","",""
"gene11805","gene11805","supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045","111332;112187;112675;113261","112132;112622;113204;113655","+;+;+;+",2162,"AAEL014230",NA,NA,NA,NA,NA,"","",""
"gene11806","gene11806","supercont1.1045;supercont1.1045;supercont1.1045;supercont1.1045","201749;201900;202334;202646","201825;202278;202447;204483","-;-;-;-",2408,"AAEL014231",NA,NA,NA,NA,NA,"","",""
"gene11807","gene11807","supercont1.1454;supercont1.1454","86465;86747","86683;87092","+;+",565,"AAEL015074",NA,NA,NA,NA,NA,"","",""
"gene11808","gene11808","supercont1.2641;supercont1.2641;supercont1.2641","1310;1881;2286","1807;1945;9039","+;+;+",7317,"AAEL015489",NA,NA,NA,NA,NA,"","",""
"gene11809","gene11809","supercont1.1277;supercont1.1277","12835;12978","12923;13102","+;+",214,"AAEL014804",NA,NA,NA,NA,NA,"","",""
"gene1181","gene1181","supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485","194016;194479;208868;233711;237983","194412;194531;209660;234569;239574","+;+;+;+;+",3694,"AAEL010533","FBpp0088056","FBgn0033183","CG1620","CG1620","EOG8FTZRN","","",""
"gene11810","gene11810","supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277","74488;74670;75209;75462;75863;76119;76312;88313;88548","74610;75150;75402;75803;76056;76250;76447;88480;88700","-;-;-;-;-;-;-;-;-",1923,"AAEL014801",NA,NA,NA,NA,NA,"","",""
"gene11811","gene11811","supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277","60227;61213;61633;62468;62645;62863","60856;61574;62406;62581;62795;63338","+;+;+;+;+;+",2507,"AAEL014802",NA,NA,NA,NA,NA,"","",""
"gene11812","gene11812","supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277;supercont1.1277","32337;32565;33118;33346;33559;43417;43821;44054;44278;47638","32504;32699;33280;33477;33752;43758;43983;44220;44607;47739","+;+;+;+;+;+;+;+;+;+",1896,"AAEL014803","FBpp0082634","FBgn0038366","CG4576","CG4576","EOG89KJG3","","",""
"gene11813","gene11813","supercont1.2943;supercont1.2943","1725;1988","1921;4559","-;-",2769,"AAEL015522","FBpp0073101","FBgn0041171","CG15010","ago","EOG85F0DQ","","",""
"gene11814","gene11814","supercont1.799;supercont1.799;supercont1.799;supercont1.799;supercont1.799;supercont1.799","319727;320118;347065;347242;348287;348736","320057;321087;347177;348017;348709;349332","+;+;+;+;+;+",3210,"AAEL018257",NA,NA,NA,NA,NA,"","",""
"gene11815","gene11815","supercont1.799;supercont1.799;supercont1.799;supercont1.799;supercont1.799","295044;295166;295463;304713;305139","295059;295363;295631;304976;305466","+;+;+;+;+",975,"AAEL013163","FBpp0072732","FBgn0027547","CG1927","CG1927","EOG8Z65F8","","",""
"gene11816","gene11816","supercont1.799;supercont1.799;supercont1.799;supercont1.799;supercont1.799;supercont1.799","240756;281434;281611;281822;282035;282369","241373;281552;281765;281971;282308;282920","+;+;+;+;+;+",1868,"AAEL013166","FBpp0075971","FBgn0036117","CG6321","CG6321","EOG8DBX5H","","",""
"gene11817","gene11817","supercont1.799;supercont1.799","253768;255491","255427;255574","-;-",1744,"AAEL013167","FBpp0309346","FBgn0031114","CG1676","cactin","EOG81K23W","","",""
"gene11818","gene11818","supercont1.799","253709","254743","+",1035,"AAEL013169",NA,NA,NA,NA,NA,"","",""
"gene11819","gene11819","supercont1.799;supercont1.799;supercont1.799;supercont1.799;supercont1.799","194871;218270;218541;220286;220585","195058;218484;218762;220519;220763","+;+;+;+;+",1038,"AAEL013168","FBpp0303103","FBgn0013751","CG1072","Awh","EOG8F20VF","","",""
"gene1182","gene1182","supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485","225501;232435;242615;283962;309054","226415;233635;245637;284249;309364","-;-;-;-;-",5738,"AAEL010539","FBpp0306255","FBgn0264815","CG44007","Pde1c","EOG8616VT","","",""
"gene11820","gene11820","supercont1.1054;supercont1.1054;supercont1.1054","41921;42277;42593","41980;42525;43366","+;+;+",1083,"AAEL014276",NA,NA,NA,NA,NA,"","",""
"gene11821","gene11821","supercont1.4632;supercont1.4632","1008;3422","3361;3751","+;+",2684,"AAEL015671","FBpp0080148","FBgn0004406","CG8987","tam","EOG8V19R1","","",""
"gene11822","gene11822","supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567","1026;7173;16253;16598;21141;21520;28335;32414;32884;39561;43036","1511;8020;16361;16644;21460;21643;28636;32812;33263;41502;43305","+;+;+;+;+;+;+;+;+;+;+",5227,"AAEL011325","FBpp0089220","FBgn0025595","CG11325","AkhR","EOG81K246","AKH receptor","neuropeptide receptor","neuropeptide receptor"
"gene11823","gene11823","supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567","531414;560356;561124;561378;562709","532673;560885;561306;561601;563664","+;+;+;+;+",3153,"AAEL011326","FBpp0083411","FBgn0038855","CG5745","CG5745","EOG8WHCBJ","","",""
"gene11824","gene11824","supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567","223107;229336;234928;237461;294862;295151;304730;341974;408757;409555;414903;414917","223575;229708;235325;237607;295067;295250;304988;342119;409465;409579;414906;415164","-;-;-;-;-;-;-;-;-;-;-;-",3084,"AAEL011324",NA,NA,NA,NA,NA,"","",""
"gene11825","gene11825","supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567","48245;48958;49209;56652;61520;61681;67913;145709","48894;49094;49308;57191;61614;62146;67953;145720","-;-;-;-;-;-;-;-",2041,"AAEL011323","FBpp0079350","FBgn0004914","CG9310","Hnf4","EOG8QNQMT","","",""
"gene11826","gene11826","supercont1.567","56956","57191","+",236,"AAEL011327",NA,NA,NA,NA,NA,"","",""
"gene11827","gene11827","supercont1.567;supercont1.567;supercont1.567;supercont1.567","433576;434016;434252;444381","433955;434189;434530;445236","+;+;+;+",1689,"AAEL011330",NA,NA,NA,NA,NA,"","",""
"gene11828","gene11828","supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567","458732;459072;459446;459476;468363;468677;469001;469237;482858","458987;459219;459449;459572;468541;468853;469167;469507;483124","+;+;+;+;+;+;+;+;+",1566,"AAEL011328",NA,NA,NA,NA,NA,"","",""
"gene11829","gene11829","supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567;supercont1.567","452360;452784;453020;453460;453641;454356","452719;452954;453251;453571;453774;454737","-;-;-;-;-;-",1391,"AAEL011321",NA,NA,NA,NA,NA,"","",""
"gene1183","gene1183","supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485;supercont1.485","17412;28019;28968;34436;45167;46074;53863;59686;60213;61282","17987;28752;29079;34641;45299;46192;54017;59849;60327;61797","+;+;+;+;+;+;+;+;+;+",2830,"AAEL010534","FBpp0099453","FBgn0065110","CG34042","ppk10","EOG8Q5CF3","ppk10","PPK","PPK"
"gene11830","gene11830","supercont1.567;supercont1.567;supercont1.567;supercont1.567","567806;582730;582968;583244","569257;582902;583172;584702","-;-;-;-",3289,"AAEL011329","FBpp0083437","FBgn0038854","CG7044","CG7044","EOG8V9XFW","","",""
"gene11831","gene11831","supercont1.16;supercont1.16","592068;593056","592995;593794","+;+",1667,"AAEL000786",NA,NA,NA,NA,NA,"","",""
"gene11832","gene11832","supercont1.16;supercont1.16","3622677;3622848","3622781;3622946","-;-",204,"AAEL000777",NA,NA,NA,NA,NA,"","",""
"gene11833","gene11833","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1754458;1761402;1761629;1762498;1763291;1778050;1809976","1755796;1761561;1762432;1762787;1763367;1778060;1810092","-;-;-;-;-;-;-",2798,"AAEL000788","FBpp0087585","FBgn0033438","CG1794","Mmp2","EOG81VNTQ","","",""
"gene11834","gene11834","supercont1.16","1512822","1514098","+",1277,"AAEL000782","FBpp0086294","FBgn0034118","CG6251","Nup62","EOG8HTCJS","","",""
"gene11835","gene11835","supercont1.16;supercont1.16","650148;706789","650354;707403","-;-",822,"AAEL000792",NA,NA,NA,NA,NA,"","",""
"gene11836","gene11836","supercont1.16;supercont1.16;supercont1.16","283224;283428;283874","283364;283868;285283","+;+;+",1992,"AAEL000765","FBpp0077690-FBpp0073484-FBpp0088363-FBpp0072365","FBgn0002563-FBgn0002562-FBgn0002565-FBgn0002564","CG4178-CG2559-CG6806-CG6821","Lsp1beta-Lsp1alpha-Lsp2-Lsp1gamma","EOG805VRG-EOG805VRG-EOG805VRG-EOG805VRG","","",""
"gene11837","gene11837","supercont1.16;supercont1.16","3542230;3543451","3543135;3543615","+;+",1071,"AAEL000754",NA,NA,NA,NA,NA,"","",""
"gene11838","gene11838","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","2852317;2879872;2904612;2918781;2919524;2919884;2920629;2920860;2921381;2921634","2854205;2880455;2904990;2919458;2919824;2920570;2920801;2921088;2921557;2922871","+;+;+;+;+;+;+;+;+;+",6335,"AAEL017512","FBpp0085217-FBpp0085778","FBgn0270927-FBgn0034417","CG2135-CG15117","betaGlu-CG15117","EOG8N075C-EOG8N075C","","",""
"gene11839","gene11839","supercont1.16;supercont1.16;supercont1.16;supercont1.16","1834997;1836530;1836836;1837521","1836075;1836777;1837183;1839901","-;-;-;-",4056,"AAEL000756",NA,NA,NA,NA,NA,"","",""
"gene1184","gene1184","supercont1.485","127689","129170","-",1482,"AAEL010543","FBpp0079843","FBgn0032378","CG14939","CycY","EOG812PXN","","",""
"gene11840","gene11840","supercont1.16;supercont1.16;supercont1.16","2548433;2563843;2564876","2548642;2564398;2564922","-;-;-",813,"AAEL000790",NA,NA,NA,NA,NA,"","",""
"gene11841","gene11841","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","3889199;3889743;3890228;3890425;3937791","3889670;3890168;3890366;3890706;3938033","+;+;+;+;+",1562,"AAEL000757",NA,NA,NA,NA,NA,"","",""
"gene11842","gene11842","supercont1.16;supercont1.16;supercont1.16","566373;577664;584882","577511;577936;585410","-;-;-",11941,"AAEL000771",NA,NA,NA,NA,NA,"","",""
"gene11843","gene11843","supercont1.16;supercont1.16;supercont1.16;supercont1.16","943807;961841;968272;980225","958310;962414;968669;981702","-;-;-;-",16954,"AAEL000759","FBpp0083729","FBgn0046114","CG4919","Gclm","EOG883GWV","","",""
"gene11844","gene11844","supercont1.16;supercont1.16","4028859;4033092","4028919;4035721","-;-",2691,"AAEL000778",NA,NA,NA,NA,NA,"","",""
"gene11845","gene11845","supercont1.16;supercont1.16;supercont1.16","2921951;2922461;2922872","2922402;2922606;2923097","-;-;-",824,"AAEL000755","FBpp0086482","FBgn0034033","CG8204","CG8204","EOG8MPMGZ","","",""
"gene11846","gene11846","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1533978;1546271;1602526;1602772;1603054;1613929;1614431;1614727;1614896;1615418;1615720;1616011;1616487","1534962;1547144;1602706;1602993;1603194;1614070;1614667;1614845;1615359;1615660;1615872;1616274;1616761","+;+;+;+;+;+;+;+;+;+;+;+;+",4300,"AAEL000773","FBpp0297760","FBgn0263076","CG43323","Klp54D","EOG8JQ6P2","","",""
"gene11847","gene11847","supercont1.16;supercont1.16;supercont1.16","1742348;1743329;1743486","1742982;1743430;1744622","-;-;-",1874,"AAEL000776",NA,NA,NA,NA,NA,"","",""
"gene11848","gene11848","supercont1.16;supercont1.16","196200;196634","196572;198840","+;+",2580,"AAEL000762",NA,NA,NA,NA,NA,"","",""
"gene11849","gene11849","supercont1.16;supercont1.16","3821822;3823033","3822092;3823756","+;+",995,"AAEL000785","FBpp0086385","FBgn0034086","CG8441","CG8441","EOG8D81Z9","","",""
"gene1185","gene1185","supercont1.485;supercont1.485;supercont1.485","564715;573542;574039","565938;573978;574410","+;+;+",2033,"AAEL010537",NA,NA,NA,NA,NA,"","",""
"gene11850","gene11850","supercont1.16;supercont1.16","3608309;3608514","3608455;3608685","-;-",319,"AAEL000775",NA,NA,NA,NA,NA,"","",""
"gene11851","gene11851","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1593640;1599862;1600910;1627582;1627911","1596090;1600816;1601189;1627845;1628311","-;-;-;-;-",4351,"AAEL018129",NA,NA,NA,NA,NA,"","",""
"gene11852","gene11852","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1100158;1101017;1107539;1109014;1116141","1100953;1101533;1108037;1109742;1116634","+;+;+;+;+",3035,"AAEL000753",NA,NA,NA,NA,NA,"","",""
"gene11853","gene11853","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","3784205;3788180;3788457;3788745;3788937;3814927","3785652;3788391;3788672;3788870;3792340;3815965","-;-;-;-;-;-",6445,"AAEL000794","FBpp0086380","FBgn0034087","CG8443","clu","EOG8FR3GT","","",""
"gene11854","gene11854","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1669794;1690110;1691202;1705981;1726809;1730742","1670172;1691136;1691389;1706345;1727369;1730788","-;-;-;-;-;-",2567,"AAEL000781",NA,NA,NA,NA,NA,"","",""
"gene11855","gene11855","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","361966;367658;368158;369195;382967","362103;368096;368326;369318;385993","+;+;+;+;+",3897,"AAEL000780","FBpp0086703","FBgn0033911","CG8394","VGAT","EOG8DBX58","dVGAT","vesicular_reuptake transporter","vesicular/reuptake transporter"
"gene11856","gene11856","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1476583;1491616;1491764;1491966;1493448;1506682","1477729;1491697;1491898;1492855;1494169;1509487","-;-;-;-;-;-",5782,"AAEL018128",NA,NA,NA,NA,NA,"","",""
"gene11857","gene11857","supercont1.16;supercont1.16","1116352;1118100","1116517;1118685","-;-",752,"AAEL000766",NA,NA,NA,NA,NA,"","",""
"gene11858","gene11858","supercont1.16","3312363","3313371","-",1009,"AAEL000769","FBpp0300515","FBgn0004587","CG10851","B52","EOG8N33FJ","","",""
"gene11859","gene11859","supercont1.16;supercont1.16","1450170;1451623","1451565;1452145","-;-",1919,"AAEL017379",NA,NA,NA,NA,NA,"","",""
"gene1186","gene1186","supercont1.745;supercont1.745;supercont1.745;supercont1.745;supercont1.745","303431;375637;377268;377644;377807","305030;375850;377578;377749;385456","+;+;+;+;+",9881,"AAEL012823","FBpp0086464","FBgn0034025","CG8182","GalNAc-T1","EOG8J6VGC","","",""
"gene11860","gene11860","supercont1.16;supercont1.16","504924;506623","505447;506806","-;-",708,"AAEL000779",NA,NA,NA,NA,NA,"","",""
"gene11861","gene11861","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","3833811;3837605;3837875;3853739;3854113;3854662","3837539;3837800;3838030;3854052;3854648;3855084","-;-;-;-;-;-",5354,"AAEL000770","FBpp0086375","FBgn0015754","CG8440","Lis-1","EOG8TF3B6","","",""
"gene11862","gene11862","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1153821;1175387;1176669;1180610;1204709;1208832;1209035;1209223;1209489;1209680;1210186;1210601;1220146;1220432;1220610;1220827;1222280;1238981;1239425;1258517;1276779;1311793","1155282;1175478;1176700;1191711;1204768;1208966;1209153;1209415;1209608;1209816;1210542;1211362;1220367;1220541;1220751;1220962;1222822;1239101;1239932;1259817;1277316;1312991","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",19391,"AAEL000767","FBpp0289035","FBgn0259221","CG42321","CG42321","EOG8KM1T7","","",""
"gene11863","gene11863","supercont1.16;supercont1.16","3758389;3760077","3759446;3760489","-;-",1471,"AAEL000791","FBpp0308230","FBgn0265177","CG44242","CG44242","EOG8GQSZ8","","",""
"gene11864","gene11864","supercont1.16;supercont1.16;supercont1.16","3932816;3943814;3944552","3932838;3944498;3945175","-;-;-",1332,"AAEL000764",NA,NA,NA,NA,NA,"","",""
"gene11865","gene11865","supercont1.16","410905","411150","-",246,"AAEL000789",NA,NA,NA,NA,NA,"","",""
"gene11866","gene11866","supercont1.16;supercont1.16;supercont1.16","3232149;3232542;3233101","3232483;3233037;3233220","-;-;-",951,"AAEL000793","FBpp0073755-FBpp0073754-FBpp0071403-FBpp0308850","FBgn0020508-FBgn0015010-FBgn0052679-FBgn0261848","CG9540-CG9538-CG32679-CG42780","Ag5r2-Ag5r-CG32679-CG42780","EOG8R7Z31-EOG8R7Z31-EOG8R7Z31-EOG8R7Z31","","",""
"gene11867","gene11867","supercont1.16;supercont1.16","414020;414763","414545;415863","+;+",1627,"AAEL000783","FBpp0293514","FBgn0036534","CG6169","DCP2","EOG8284SM","","",""
"gene11868","gene11868","supercont1.16;supercont1.16","590209;591646","591582;592598","-;-",2327,"AAEL000774",NA,NA,NA,NA,NA,"","",""
"gene11869","gene11869","supercont1.16;supercont1.16;supercont1.16;supercont1.16","394855;396102;409309;410586","396044;396253;409899;410599","-;-;-;-",1947,"AAEL000752",NA,NA,NA,NA,NA,"","",""
"gene1187","gene1187","supercont1.745;supercont1.745;supercont1.745;supercont1.745","483736;521540;524573;525749","484433;522635;524988;526102","-;-;-;-",2564,"AAEL012826","FBpp0081356","FBgn0010173","CG9633","RpA-70","EOG8P5P1T","","",""
"gene11870","gene11870","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","992735;1005994;1006293;1006486;1028394;1028716;1029093;1035104;1035710;1077116;1085538;1100186","994836;1006233;1006427;1007146;1028656;1029033;1029440;1035410;1036055;1077883;1086212;1100374","-;-;-;-;-;-;-;-;-;-;-;-",6352,"AAEL000763","FBpp0086007","FBgn0040294","CG4909","POSH","EOG80P6ZF","","",""
"gene11871","gene11871","supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16;supercont1.16","1632309;1632648;1634924;1656827;1658092;1658406;1664097;1664537","1632642;1632681;1647013;1657876;1658343;1658714;1664467;1666191","+;+;+;+;+;+;+;+",16095,"AAEL000758","FBpp0087583","FBgn0023143","CG1782","Uba1","EOG837V52","","",""
"gene11872","gene11872","supercont1.16;supercont1.16","3764459;3765726","3765249;3766993","+;+",2059,"AAEL000787","FBpp0086384","FBgn0262166","CG8445","calypso","EOG8H48VM","","",""
