internal.gene_id.x,vectorbase.RU,display.name,gene.family,gene.family.specific,flybase.fbpp,orthodb.group,flybase.fbgn,flybase.annot,flybase.gene
gene1131,AAEL006827,,,,FBpp0083145,EOG8258JB,FBgn0038681,CG6042,Cyp12a4
gene1131,AAEL006827,,,,FBpp0290498,EOG8258JB,FBgn0037817,CG14680,Cyp12e1
gene1131,AAEL006827,,,,FBpp0088436,EOG8258JB,FBgn0053503,CG33503,Cyp12d1-d
gene1131,AAEL006827,,,,FBpp0074858,EOG8258JB,FBgn0036806,CG4120,Cyp12c1
gene11310,AAEL003393,,,,FBpp0075203,EOG8HX7RW,FBgn0036568,CG5389,ATPsynbetaL
gene11310,AAEL003393,,,,FBpp0305828,EOG8HX7RW,FBgn0010217,CG11154,ATPsynbeta
gene11311,AAEL003386,,,,NA,NA,NA,NA,NA
gene11312,AAEL003387,,,,FBpp0073761,EOG886C43,FBgn0030574,CG9413,CG9413
gene11313,AAEL003369,AaegOr37,OR,OR,NA,NA,NA,NA,NA
gene11314,RU139,,,,NA,NA,NA,NA,NA
gene11315,AAEL003391,,,,FBpp0303409,EOG8S1WZD,FBgn0027508,CG4719,Tnks
gene11316,AAEL003388,,,,FBpp0084919,EOG8X6G0W,FBgn0026597,CG7926,Axn
gene11317,AAEL018300,,,,FBpp0082993,EOG8BS0CX,FBgn0038592,CG18599,CG18599
gene11318,AAEL003396,,,,FBpp0084959,EOG82Z7H1,FBgn0002626,CG7939,RpL32
gene11319,AAEL003366,,,,NA,NA,NA,NA,NA
gene1132,AAEL006512,,,,FBpp0080933,EOG82NMQJ,FBgn0261787,CG2478,bru
gene11320,AAEL003389,,,,NA,NA,NA,NA,NA
gene11321,AAEL003373,,,,NA,NA,NA,NA,NA
gene11322,AAEL003397,,,,FBpp0072404,EOG8J141Q,FBgn0035122,CG13880,mRpL17
gene11323,AAEL003384,,,,FBpp0288721,EOG8W115X,FBgn0036426,CG9592,CG9592
gene11323,AAEL003384,,,,FBpp0078403,EOG8W115X,FBgn0037340,CG14671,CG14671
gene11324,AAEL003383,,,,FBpp0082121,EOG8FR3HK,FBgn0011745,CG6174,Arp1
gene11325,AAEL003371,,,,FBpp0303082,EOG8NW2B0,FBgn0283468,CG3412,slmb
gene11326,AAEL003377,,,,FBpp0083319,EOG8GTP4D,FBgn0038810,CG5434,Srp72
gene11327,AAEL003394,,,,FBpp0073542,EOG8S1X0H,FBgn0030410,CG15727,Aven
gene11328,AAEL003382,,,,FBpp0070544,EOG80P6ZB,FBgn0029666,CG10803,CG10803
gene11329,AAEL003399,,,,NA,NA,NA,NA,NA
gene1133,AAEL006508,,,,FBpp0288501,EOG8QNQNJ,FBgn0051812,CG31812,CG31812
gene11330,AAEL003365,,,,FBpp0306057,EOG8XH2RK,FBgn0038858,CG5793,CG5793
gene11331,AAEL003401,,,,FBpp0082591,EOG86MFB9,FBgn0051155,CG31155,Rpb7
gene11332,AAEL018301,,,,FBpp0078501,EOG8WT025,FBgn0037265,CG12001,spartin
gene11333,AAEL003363,,,,FBpp0078338,EOG8T1MCH,FBgn0037341,CG12746,CG12746
gene11334,AAEL017276,,,,NA,NA,NA,NA,NA
gene11335,AAEL012877,,,,FBpp0073942,EOG8ZCWWJ,FBgn0000611,CG8933,exd
gene11336,AAEL012873,,,,NA,NA,NA,NA,NA
gene11337,AAEL012880,,,,FBpp0309104,EOG8KSS8Z,FBgn0052654,CG32654,Sec16
gene11338,AAEL012874,,,,FBpp0072020,EOG83BQF5,FBgn0034879,CG3931,Rrp4
gene11339,AAEL017400,,,,FBpp0073588,EOG8SJ85S,FBgn0030468,CG1622,CG1622
gene1134,AAEL006531,,,,FBpp0079893,EOG8B8N4P,FBgn0032397,CG6756,Tom70
gene11340,AAEL012884,,,,FBpp0086579,EOG8K0TCR,FBgn0033973,CG12855,HPS1
gene11341,AAEL012879,,,,NA,NA,NA,NA,NA
gene11342,AAEL012872,,,,NA,NA,NA,NA,NA
gene11343,AAEL012876,,,,FBpp0073490,EOG8RFPK7,FBgn0030406,CG1463,CG1463
gene11344,AAEL012875,,,,FBpp0301847,EOG87Q0ZR,FBgn0260855,CG7359,Sec22
gene11345,AAEL012871,,,,NA,NA,NA,NA,NA
gene11346,AAEL012882,,,,FBpp0073488,EOG87WRD8,FBgn0030407,CG2543,CG2543
gene11346,AAEL012882,,,,FBpp0077198,EOG87WRD8,FBgn0051773,CG31773,CG31773
gene11347,AAEL012881,,,,FBpp0073489,EOG83R6DK,FBgn0030408,CG11085,CG11085
gene11348,AAEL012878,,,,NA,NA,NA,NA,NA
gene11349,AAEL012883,,,,FBpp0076729,EOG82FW8C,FBgn0020765,CG10297,Acp65Aa
gene11349,AAEL012883,,,,FBpp0076732,EOG82FW8C,FBgn0052405,CG32405,Cpr65Av
gene1135,AAEL006532,,,,FBpp0071028,EOG8P2SSK,FBgn0022786,CG12153,Hira
gene11350,AAEL011249,,,,FBpp0081347,EOG8BK7VR,FBgn0037574,CG9613,Coq2
gene11351,AAEL011250,,,,FBpp0085375,EOG8FXV05,FBgn0259978,CG8390,vlc
gene11352,AAEL018215,,,,FBpp0303336,EOG81G5V8,FBgn0264324,CG31048,spg
gene11353,AAEL011251,,,,FBpp0078624,EOG8KD9BV,FBgn0037220,CG14641,CG14641
gene11354,AAEL011252,,,,NA,NA,NA,NA,NA
gene11355,AAEL011248,,,,FBpp0084719,EOG8DV8C4,FBgn0265274,CG1448,Inx3
gene11356,AAEL011254,,,,FBpp0111839,EOG8CZF7V,FBgn0026737,CG6171,CG6171
gene11357,AAEL011255,,,,FBpp0082867,EOG8MD0R1,FBgn0038473,CG3983,Ns1
gene11358,AAEL011253,,,,FBpp0291391,EOG8XD6G8,FBgn0039883,CG1976,RhoGAP100F
gene11359,AAEL011256,,,,FBpp0085389,EOG8TB733,FBgn0025693,CG11163,ZnT41F
gene1136,AAEL006511,,,,FBpp0077159,EOG8NW2C6,FBgn0003941,CG2960,RpL40
gene1136,AAEL006511,,,,FBpp0080733,EOG8NW2C6,FBgn0032725,CG10679,Nedd8
gene11360,AAEL012798,,,,FBpp0111472,EOG81NXBG,FBgn0265011,CG34350,Np
gene11361,AAEL012797,,,,FBpp0271893,EOG8S7NF8,FBgn0033359,CG8213,CG8213
gene11362,AAEL012799,,,,NA,NA,NA,NA,NA
gene11363,AAEL012800,,,,FBpp0086851,EOG805VSJ,FBgn0033808,CG4627,CG4627
gene11364,AAEL012143,,,,FBpp0084848,EOG8X0QJG,FBgn0019972,CG7788,Drice
gene11364,AAEL012143,,,,FBpp0071971,EOG8X0QJG,FBgn0010501,CG5370,Dcp-1
gene11365,AAEL012137,,,,FBpp0071166,EOG84TS0F,FBgn0030055,CG12772,CG12772
gene11366,AAEL012139,Allatostatin B/myoinhibiting peptide,neuropeptide,neuropeptide,FBpp0075003,EOG8TMTTR,FBgn0036713,CG6456,Mip
gene11367,AAEL012138,,,,NA,NA,NA,NA,NA
gene11368,AAEL012142,,,,FBpp0082180,EOG8C8BHP,FBgn0038118,CG7855,timeout
gene11369,AAEL012136,,,,FBpp0082250,EOG8XD6H6,FBgn0038126,CG8483,CG8483
gene1137,AAEL006520,,,,FBpp0289247,EOG8M3D2P,FBgn0259717,CG42371,CG42371
gene11370,AAEL012141,Ace,Ach processing,Ach processing,FBpp0082248,EOG8WM7K6,FBgn0000024,CG17907,Ace
gene11371,AAEL012135,,,,FBpp0085887,EOG880MNR,FBgn0034365,CG5335,CG5335
gene11372,AAEL012140,,,,FBpp0073720,EOG89PDQ5,FBgn0030554,CG1434,CG1434
gene11373,AAEL001022,,,,FBpp0073422,EOG86T5SH,FBgn0030362,CG1803,regucalcin
gene11373,AAEL001022,,,,FBpp0307825,EOG86T5SH,FBgn0038257,CG7390,smp-30
gene11374,AAEL001045,,,,NA,NA,NA,NA,NA
gene11375,AAEL001035,,,,FBpp0073422,EOG86T5SH,FBgn0030362,CG1803,regucalcin
gene11375,AAEL001035,,,,FBpp0307825,EOG86T5SH,FBgn0038257,CG7390,smp-30
gene11376,AAEL017193,,,,NA,NA,NA,NA,NA
gene11377,AAEL001042,,,,FBpp0074443,EOG8B01F6,FBgn0030999,CG7874,Mur18B
gene11378,AAEL001036,,,,FBpp0307426,EOG8T4GKN,FBgn0037926,CG10535,Elp1
gene11379,AAEL001048,,,,FBpp0084241,EOG8S1X09,FBgn0039304,CG10425,CG10425
gene1138,RU008,,,,NA,NA,NA,NA,NA
gene11380,AAEL001029,,,,FBpp0083195,EOG8SJ85Z,FBgn0038722,CG7360,Nup58
gene11381,AAEL001015,,,,NA,NA,NA,NA,NA
gene11382,AAEL001050,,,,FBpp0075717,EOG8KH5KF,FBgn0036282,CG14122,Smyd4
gene11383,AAEL001039,,,,FBpp0081591,EOG8K0TDM,FBgn0037710,CG9393,CG9393
gene11384,AAEL001034,,,,FBpp0298357,EOG8VHNXP,FBgn0263131,CG43373,CG43373
gene11385,AAEL001018,,,,FBpp0308425,EOG8P5P1S,FBgn0085382,CG34353,CG34353
gene11385,AAEL001018,,,,FBpp0083730,EOG8P5P1S,FBgn0017590,CG6669,klg
gene11385,AAEL001018,,,,FBpp0290384,EOG8P5P1S,FBgn0037107,CG7166,CG7166
gene11386,AAEL001023,,,,FBpp0072150,EOG81NXCX,FBgn0028411,CG12752,Nxt1
gene11387,AAEL001016,,,,NA,NA,NA,NA,NA
gene11388,AAEL001044,,,,FBpp0075168,EOG82FW87,FBgn0027080,CG4561,Aats-tyr
gene11389,AAEL001025,,,,NA,NA,NA,NA,NA
gene1139,AAEL006522,,,,FBpp0305668,EOG812PWQ,FBgn0010473,CG15427,tutl
gene11390,AAEL001020,,,,FBpp0073422,EOG86T5SH,FBgn0030362,CG1803,regucalcin
gene11390,AAEL001020,,,,FBpp0307825,EOG86T5SH,FBgn0038257,CG7390,smp-30
gene11391,AAEL001030,,,,FBpp0083245,EOG89KJGR,FBgn0038771,CG4390,CG4390
gene11392,AAEL001033,,,,FBpp0306716,EOG8BZQTS,FBgn0027950,CG8208,MBD-like
gene11393,AAEL001021,,,,FBpp0074443,EOG8B01F6,FBgn0030999,CG7874,Mur18B
gene11394,AAEL001032,,,,FBpp0081894,EOG8258J5,FBgn0037924,CG14712,CG14712
gene11395,AAEL017334,,,,FBpp0074443,EOG8B01F6,FBgn0030999,CG7874,Mur18B
gene11396,AAEL001014,,,,FBpp0081548,EOG8QNQMS,FBgn0261049,CG8228,Vps45
gene11397,AAEL001038,,,,FBpp0070723,EOG8MWBZ0,FBgn0263237,CG3319,Cdk7
gene11397,AAEL001038,,,,FBpp0290715,EOG8MWBZ0,FBgn0011754,CG1830,PhKgamma
gene11398,AAEL001031,,,,NA,NA,NA,NA,NA
gene11399,AAEL001051,,,,NA,NA,NA,NA,NA
gene114,AAEL013520,,,,FBpp0076699,EOG8M3D2M,FBgn0020641,CG6955,Lcp65Ad
gene1140,AAEL006533,,,,FBpp0076762,EOG8XH2R9,FBgn0005658,CG7018,Ets65A
gene1140,AAEL006533,,,,FBpp0077739,EOG8XH2R9,FBgn0005660,CG2914,Ets21C
gene11400,AAEL001037,,,,FBpp0073943,EOG890B1R,FBgn0030720,CG8939,CG8939
gene11401,AAEL001043,,,,NA,NA,NA,NA,NA
gene11402,AAEL001024,,,,FBpp0084925,EOG82C11R,FBgn0039741,CG7943,CG7943
gene11403,AAEL001046,,,,NA,NA,NA,NA,NA
gene11404,AAEL001041,,,,FBpp0073920,EOG8NS62Z,FBgn0001105,CG10545,Gbeta13F
gene11405,RU140,,,,NA,NA,NA,NA,NA
gene11406,AAEL001026,,,,FBpp0075167,EOG8KSSBG,FBgn0261799,CG32159,dsx-c73A
gene11407,AAEL001040,,,,NA,NA,NA,NA,NA
gene11408,AAEL001027,,,,NA,NA,NA,NA,NA
gene11409,AAEL001028,,,,FBpp0074443,EOG8B01F6,FBgn0030999,CG7874,Mur18B
gene1141,AAEL006516,,,,FBpp0080495,EOG8VHNZ3,FBgn0027779,CG17332,VhaSFD
gene11410,AAEL001049,,,,NA,NA,NA,NA,NA
gene11411,AAEL001017,,,,FBpp0289007,EOG81G5VM,FBgn0262081,CG42317,Csk
gene11412,AAEL001052,,,,FBpp0075609,EOG854CRQ,FBgn0036334,CG11267,CG11267
gene11413,AAEL001019,,,,FBpp0075148,EOG8HDWJP,FBgn0053158,CG33158,CG33158
gene11414,AAEL001047,,,,FBpp0289879,EOG80S36B,FBgn0260388,CG42514,CG42514
gene11415,AAEL013576,,,,NA,NA,NA,NA,NA
gene11416,AAEL013575,,,,FBpp0309666,EOG8PK50W,FBgn0015721,CG9398,ktub
gene11417,AAEL013573,,,,NA,NA,NA,NA,NA
gene11418,AAEL013574,,,,NA,NA,NA,NA,NA
gene11419,AAEL009494,,,,NA,NA,NA,NA,NA
gene1142,AAEL017406,,,,NA,NA,NA,NA,NA
gene11420,AAEL013037,,,,NA,NA,NA,NA,NA
gene11421,AAEL013034,,,,FBpp0300813,EOG8FTZS0,FBgn0085390,CG34361,Dgk
gene11422,AAEL013036,,,,NA,NA,NA,NA,NA
gene11423,AAEL013038,,,,NA,NA,NA,NA,NA
gene11424,AAEL013035,,,,NA,NA,NA,NA,NA
gene11425,AAEL015466,,,,FBpp0076230,EOG8DNHW8,FBgn0035970,CG4483,CG4483
gene11425,AAEL015466,,,,FBpp0082056,EOG8DNHW8,FBgn0038039,CG5196,CG5196
gene11426,AAEL015004,,,,FBpp0071684,EOG8T7BV5,FBgn0034707,CG5465,MED16
gene11427,AAEL015002,,,,NA,NA,NA,NA,NA
gene11428,AAEL015005,,,,NA,NA,NA,NA,NA
gene11429,AAEL015007,,,,FBpp0310201,EOG8VX4XJ,FBgn0250843,CG4904,Prosalpha6
gene1143,AAEL006518,,,,FBpp0079215,EOG8MWBZP,FBgn0032003,CG8349,CG8349
gene1143,AAEL006518,,,,FBpp0088874,EOG8MWBZP,FBgn0032001,CG8360,CG8360
gene1143,AAEL006518,,,,FBpp0079214,EOG8MWBZP,FBgn0032002,CG8353,CG8353
gene11430,AAEL015006,,,,FBpp0071808,EOG8SJ86P,FBgn0010078,CG3661,RpL23
gene11431,AAEL015003,,,,NA,NA,NA,NA,NA
gene11432,AAEL015001,,,,FBpp0072693,EOG8M94GQ,FBgn0025725,CG7961,alphaCOP
gene11433,AAEL015111,,,,FBpp0088333,EOG8D29GK,FBgn0051481,CG31481,pb
gene11434,AAEL013572,,,,FBpp0087424,EOG883GW4,FBgn0033500,CG12913,CG12913
gene11435,AAEL017084,,,,NA,NA,NA,NA,NA
gene11436,AAEL013571,,,,FBpp0271782,EOG8B8N62,FBgn0003660,CG12210,Syb
gene11436,AAEL013571,,,,FBpp0303878,EOG8B8N62,FBgn0013342,CG17248,nSyb
gene11437,AAEL013570,,,,NA,NA,NA,NA,NA
gene11438,AAEL014189,,,,FBpp0307130,EOG8SR0PT,FBgn0015521,CG2986,RpS21
gene11439,AAEL014190,,,,FBpp0083678,EOG89PDQM,FBgn0038983,CG5326,CG5326
gene1144,AAEL006530,,,,FBpp0077173,EOG8FBMK0,FBgn0051961,CG31961,CG31961
gene11440,AAEL014191,,,,NA,NA,NA,NA,NA
gene11441,AAEL012228,,,,FBpp0292991,EOG8XH2QP,FBgn0261975,CG42806,CG42806
gene11442,AAEL012232,,,,FBpp0292991,EOG8XH2QP,FBgn0261975,CG42806,CG42806
gene11443,AAEL012230,,,,NA,NA,NA,NA,NA
gene11444,AAEL012225,,,,FBpp0292991,EOG8XH2QP,FBgn0261975,CG42806,CG42806
gene11445,AAEL012223,,,,NA,NA,NA,NA,NA
gene11446,AAEL012226,,,,NA,NA,NA,NA,NA
gene11447,AAEL012227,,,,FBpp0072299,EOG85QM5T,FBgn0022343,CG3760,CG3760
gene11448,AAEL012231,,,,NA,NA,NA,NA,NA
gene11449,AAEL012229,,,,NA,NA,NA,NA,NA
gene1145,AAEL006509,,,,FBpp0079756,EOG8TTK9V,FBgn0010612,CG6105,ATPsynG
gene11450,AAEL012224,,,,NA,NA,NA,NA,NA
gene11451,AAEL011235,,,,NA,NA,NA,NA,NA
gene11452,AAEL011080,,,,FBpp0288481,EOG86MF8W,FBgn0032891,CG9333,Oseg5
gene11453,AAEL011075,,,,NA,NA,NA,NA,NA
gene11454,AAEL011078,,,,FBpp0079077,EOG84J59F,FBgn0031918,CG6055,CG6055
gene11455,AAEL011072,,,,FBpp0112197,EOG8PVRQM,FBgn0039273,CG9996,CG9996
gene11456,AAEL011069,,,,FBpp0301580,EOG8WHCBQ,FBgn0026238,CG2944,gus
gene11457,AAEL011071,,,,FBpp0077073,EOG8Z91N9,FBgn0031628,CG3294,CG3294
gene11458,AAEL011070,,,,FBpp0077108,EOG876NRM,FBgn0031629,CG3244,Clect27
gene11459,AAEL011074,,,,FBpp0077762,EOG80CM74,FBgn0031216,CG11376,Zir
gene1146,AAEL006525,,,,FBpp0071164,EOG870X83,FBgn0030053,CG12081,CG12081
gene11460,AAEL011079,,,,NA,NA,NA,NA,NA
gene11461,AAEL011076,,,,FBpp0078669,EOG8HB1BM,FBgn0031673,CG31650,CG31650
gene11462,AAEL015231,,,,FBpp0290120,EOG8NCQ44,FBgn0260487,CG42534,CG42534
gene11463,AAEL012333,,,,FBpp0309966,EOG8SR0N1,FBgn0261794,CG5594,kcc
gene11464,AAEL012336,,,,NA,NA,NA,NA,NA
gene11465,AAEL012334,,,,FBpp0309966,EOG8SR0N1,FBgn0261794,CG5594,kcc
gene11466,AAEL013680,,,,NA,NA,NA,NA,NA
gene11467,AAEL013684,,,,FBpp0288833,EOG86434F,FBgn0259143,CG42258,CG42258
gene11468,AAEL013682,,,,NA,NA,NA,NA,NA
gene11469,AAEL013683,,,,FBpp0073483,EOG86T5T1,FBgn0030394,CG2560,Cpr11A
gene1147,AAEL006510,,,,NA,NA,NA,NA,NA
gene11470,AAEL013681,,,,NA,NA,NA,NA,NA
gene11471,AAEL017342,,,,NA,NA,NA,NA,NA
gene11472,AAEL005209,,,,NA,NA,NA,NA,NA
gene11473,AAEL005191,,,,FBpp0087515,EOG8NZXK4,FBgn0013435,CG1362,cdc2rk
gene11474,AAEL005197,,,,FBpp0087883,EOG879J00,FBgn0033272,CG8707,RagC-D
gene11475,AAEL005200,,,,NA,NA,NA,NA,NA
gene11476,AAEL005210,,,,NA,NA,NA,NA,NA
gene11477,AAEL005181,,,,FBpp0307715,EOG8TB72P,FBgn0034075,CG8421,Asph
gene11478,AAEL005190,,,,FBpp0087491,EOG876NS4,FBgn0033480,CG12921,mRpL42
gene11479,AAEL005206,,,,NA,NA,NA,NA,NA
gene1148,AAEL006529,,,,FBpp0309777,EOG8ZW827,FBgn0085437,CG34408,CG34408
gene11480,AAEL005174,,,,FBpp0297794,EOG85QM4C,FBgn0263077,CG43340,CG43340
gene11481,AAEL005203,,,,FBpp0071542,EOG8FTZRK,FBgn0034614,CG9752,CG9752
gene11482,AAEL005173,,,,FBpp0288470,EOG805VS1,FBgn0262511,CG8048,Vha44
gene11483,AAEL005183,,,,FBpp0082935,EOG8J6VHV,FBgn0038540,CG14321,CG14321
gene11484,AAEL005175,,,,FBpp0087891,EOG8N33D6,FBgn0263593,CG8709,Lpin
gene11485,AAEL005178,,,,FBpp0086361,EOG81C9MT,FBgn0034076,CG8424,Jhedup
gene11486,AAEL005204,,,,FBpp0088024,EOG8RFPJC,FBgn0033196,CG1358,CG1358
gene11487,AAEL005205,,,,FBpp0289681,EOG8WWVB8,FBgn0052638,CG32638,CG32638
gene11488,AAEL005199,,,,NA,NA,NA,NA,NA
gene11489,AAEL005196,,,,FBpp0079831,EOG8SJ851,FBgn0032363,CG6509,CG6509
gene1149,AAEL006523,,,,FBpp0088181,EOG86Q9K0,FBgn0024811,CG1587,Crk
gene11490,AAEL005202,,,,FBpp0072215,EOG84N1J5,FBgn0035025,CG11416,uri
gene11491,AAEL005171,,,,FBpp0081683,EOG8K0TF1,FBgn0037777,CG11722,CG11722
gene11492,AAEL005172,,,,NA,NA,NA,NA,NA
gene11493,AAEL005213,,,,NA,NA,NA,NA,NA
gene11494,AAEL005194,,,,NA,NA,NA,NA,NA
gene11495,AAEL005182,,,,NA,NA,NA,NA,NA
gene11496,AAEL005211,,,,FBpp0088469,EOG837V54,FBgn0021760,CG32435,chb
gene11497,AAEL005177,,,,FBpp0079995,EOG8962GZ,FBgn0040509,CG17174,ACXB
gene11497,AAEL005177,,,,FBpp0079994,EOG8962GZ,FBgn0040508,CG5983,ACXC
gene11497,AAEL005177,,,,FBpp0072753,EOG8962GZ,FBgn0040507,CG5712,ACXD
gene11497,AAEL005177,,,,FBpp0302693,EOG8962GZ,FBgn0040506,CG17178,ACXE
gene11497,AAEL005177,,,,FBpp0079996,EOG8962GZ,FBgn0040510,CG17176,ACXA
gene11498,AAEL018333,,,,FBpp0088539,EOG8030HK,FBgn0030887,CG6867,CG6867
gene11499,AAEL005180,,,,FBpp0080552,EOG8ZW82F,FBgn0024689,CG6549,fws
gene115,AAEL002988,,,,NA,NA,NA,NA,NA
gene1150,AAEL006515,,,,FBpp0073194,EOG82FW94,FBgn0035537,CG11342,CG11342
gene11500,AAEL005201,,,,FBpp0086289,EOG8G4KG3,FBgn0010611,CG4311,Hmgs
gene11501,AAEL005187,,,,FBpp0076111,EOG85F0DJ,FBgn0267348,CG3322,LanB2
gene11502,AAEL005207,,,,FBpp0070837,EOG85MQWQ,FBgn0029843,CG5905,Nep1
gene11503,AAEL005192,,,,NA,NA,NA,NA,NA
gene11504,AAEL005193,,,,NA,NA,NA,NA,NA
gene11505,AAEL005198,,,,NA,NA,NA,NA,NA
gene11506,AAEL005188,,,,FBpp0079549,EOG8J407S,FBgn0032192,CG5731,CG5731
gene11506,AAEL005188,,,,FBpp0086315,EOG8J407S,FBgn0034117,CG7997,CG7997
gene11507,AAEL005176,,,,FBpp0073023,EOG8XPT6V,FBgn0035481,CG12605,CG12605
gene11507,AAEL005176,,,,FBpp0073022,EOG8XPT6V,FBgn0004880,CG1130,scrt
gene11507,AAEL005176,,,,FBpp0072462,EOG8XPT6V,FBgn0035144,CG17181,Kah
gene11508,AAEL005185,,,,FBpp0076155,EOG8B5RXT,FBgn0036008,CG3408,CG3408
gene11509,AAEL005179,,,,NA,NA,NA,NA,NA
gene1151,AAEL006507,,,,FBpp0073194,EOG82FW94,FBgn0035537,CG11342,CG11342
gene11510,AAEL005208,,,,FBpp0081650,EOG84F925,FBgn0027524,CG3909,CG3909
gene11511,AAEL005212,,,,NA,NA,NA,NA,NA
gene11512,AAEL005195,,,,FBpp0081194,EOG8K6JX3,FBgn0002522,CG1264,lab
gene11513,AAEL005186,,,,FBpp0293143,EOG880MMX,NA,NA,NA
gene11514,AAEL014289,,,,NA,NA,NA,NA,NA
gene11515,AAEL014291,,,,NA,NA,NA,NA,NA
gene11516,AAEL014290,,,,FBpp0304311,EOG86T5RW,FBgn0264339,CG43795,CG43795
gene11517,AAEL015432,,,,NA,NA,NA,NA,NA
gene11518,AAEL015521,,,,FBpp0083894,EOG8HMN1N,FBgn0020647,CG5405,KrT95D
gene11519,AAEL012759,,,,NA,NA,NA,NA,NA
gene1152,AAEL006524,,,,FBpp0308850,EOG8R7Z31,FBgn0261848,CG42780,CG42780
gene1152,AAEL006524,,,,FBpp0073754,EOG8R7Z31,FBgn0015010,CG9538,Ag5r
gene1152,AAEL006524,,,,FBpp0073755,EOG8R7Z31,FBgn0020508,CG9540,Ag5r2
gene1152,AAEL006524,,,,FBpp0071403,EOG8R7Z31,FBgn0052679,CG32679,CG32679
gene11520,AAEL012758,,,,NA,NA,NA,NA,NA
gene11521,AAEL016972,,,,NA,NA,NA,NA,NA
gene11522,AAEL012760,,,,NA,NA,NA,NA,NA
gene11523,AAEL014864,,,,NA,NA,NA,NA,NA
gene11524,AAEL014863,,,,FBpp0308234,EOG8N0758,FBgn0265191,CG44244,Glycogenin
gene11525,AAEL000582,ppk28,PPK,PPK,FBpp0074109,EOG8J140K,FBgn0030795,CG4805,ppk28
gene11525,AAEL000582,ppk28,PPK,PPK,FBpp0071741,EOG8J140K,FBgn0034730,CG10972,ppk12
gene11526,AAEL000585,,,,NA,NA,NA,NA,NA
gene11527,AAEL000575,,,,FBpp0288788,EOG81VNTH,FBgn0259101,CG42249,CG42249
gene11528,AAEL000573,,,,NA,NA,NA,NA,NA
gene11529,AAEL000589,,,,FBpp0082840,EOG8PZMZ4,FBgn0266465,CG5169,GckIII
gene1153,AAEL006535,,,,NA,NA,NA,NA,NA
gene11530,AAEL000578,,,,FBpp0289333,EOG8VT8NQ,FBgn0031853,CG11201,TTLL3B
gene11531,AAEL000569,,,,FBpp0086786,EOG8284S6,FBgn0086757,CG4840,cbs
gene11532,AAEL000584,,,,FBpp0303211,EOG8SBHQ6,FBgn0036411,CG7345,Sox21a
gene11532,AAEL000584,,,,FBpp0303243,EOG8SBHQ6,FBgn0029123,CG18024,SoxN
gene11533,AAEL000587,,,,NA,NA,NA,NA,NA
gene11534,AAEL000571,,,,FBpp0078886,EOG8XSPG1,FBgn0031811,CG13982,CG13982
gene11535,AAEL000586,,,,NA,NA,NA,NA,NA
gene11536,AAEL000583,,,,FBpp0308555,EOG8GF65C,FBgn0033564,CG11919,Pex6
gene11537,AAEL017183,,,,NA,NA,NA,NA,NA
gene11538,AAEL000565,,,,NA,NA,NA,NA,NA
gene11539,AAEL000595,,,,FBpp0304700,EOG8N33F5,FBgn0039089,CG10152,beat-IV
gene1154,AAEL017445,,,,FBpp0111554,EOG82JRHP,FBgn0085424,CG34395,nub
gene1154,AAEL017445,,,,FBpp0079973,EOG82JRHP,FBgn0004394,CG12287,pdm2
gene11540,AAEL000580,,,,FBpp0078935,EOG8D55NW,FBgn0031854,CG11323,TTLL3A
gene11541,AAEL000576,,,,FBpp0289244,EOG8CNTGX,FBgn0259714,CG42368,DIP-epsilon
gene11541,AAEL000576,,,,FBpp0080422,EOG8CNTGX,FBgn0032585,CG4580,CG4580
gene11541,AAEL000576,,,,FBpp0289246,EOG8CNTGX,FBgn0259716,CG42370,CG42370
gene11541,AAEL000576,,,,FBpp0079378,EOG8CNTGX,FBgn0051708,CG31708,DIP-zeta
gene11542,AAEL000590,,,,FBpp0303262,EOG8K0TD3,FBgn0260866,CG12489,dnr1
gene11543,AAEL000566,,,,FBpp0071765,EOG8VT8Q5,FBgn0034741,CG4269,CG4269
gene11544,AAEL000591,,,,FBpp0071749,EOG8GB9XK,FBgn0003175,CG4444,px
gene11545,AAEL000581,,,,FBpp0071743,EOG8F20T8,FBgn0034733,CG4752,CG4752
gene11546,AAEL000572,,,,FBpp0307935,EOG81RSKB,NA,NA,NA
gene11546,AAEL000572,,,,FBpp0308253,EOG81RSKB,FBgn0265187,CG44252,CG44252
gene11547,AAEL000564,,,,FBpp0071743,EOG8F20T8,FBgn0034733,CG4752,CG4752
gene11548,AAEL000592,,,,NA,NA,NA,NA,NA
gene11549,AAEL000574,,,,FBpp0309938,EOG8577ZX,FBgn0034914,CG5554,CG5554
gene1155,AAEL006528,,,,NA,NA,NA,NA,NA
gene11550,AAEL018336,,,,FBpp0087189,EOG8GMXQ7,FBgn0044020,CG8998,Roc2
gene11551,AAEL000594,,,,FBpp0073058,EOG80VZFF,FBgn0263832,CG1135,Rcd5
gene11552,AAEL000593,,,,FBpp0074314,EOG8M3D29,FBgn0030883,CG7772,CG7772
gene11553,AAEL000577,,,,FBpp0288984,EOG8H48W5,FBgn0259211,CG42311,grh
gene11554,AAEL000568,,,,FBpp0078024,EOG8K9F4J,FBgn0015283,CG7619,Rpn10
gene11555,AAEL000567,,,,FBpp0087178,EOG8WT028,FBgn0050035,CG30035,Tret1-1
gene11555,AAEL000567,,,,FBpp0087180,EOG8WT028,FBgn0033644,CG8234,Tret1-2
