gene_id,vectorbase,chemo,family
gene12746,AAEL001843,,
gene12747,AAEL001850,,
gene12748,AAEL001845,,
gene12749,AAEL001837,,
gene1275,AAEL002226,,
gene12750,AAEL001878,,
gene12751,AAEL001864,,
gene12752,AAEL001866,,
gene12753,AAEL001859,,
gene12754,AAEL001847,,
gene12755,AAEL001868,,
gene12756,AAEL001858,,
gene12757,AAEL001875,,
gene12758,AAEL016962,,
gene12759,AAEL001870,,
gene1276,AAEL002231,,
gene12760,AAEL001841,,
gene12761,AAEL001842,,
gene12762,AAEL001849,,
gene12763,AAEL001848,,
gene12764,AAEL001853,,
gene12765,AAEL001861,,
gene12766,AAEL001839,,
gene12767,AAEL001856,,
gene12768,AAEL001876,,
gene12769,AAEL001838,,
gene1277,AAEL002199,,
gene12770,AAEL002696,,
gene12771,AAEL002687,,
gene12772,AAEL002695,,
gene12773,AAEL002688,,
gene12774,AAEL002689,,
gene12775,AAEL002694,,
gene12776,AAEL002686,,
gene12777,AAEL002684,,
gene12778,AAEL002681,,
gene12779,AAEL002691,,
gene1278,AAEL002179,,
gene12780,AAEL002683,,
gene12781,AAEL002682,,
gene12782,AAEL002692,,
gene12783,AAEL002690,,
gene12784,AAEL002697,,
gene12785,AAEL002685,,
gene12786,AAEL002693,,
gene12787,AAEL013055,,
gene12788,AAEL013050,,
gene12789,AAEL013053,,
gene1279,AAEL017232,,
gene12790,AAEL013049,,
gene12791,AAEL013052,,
gene12792,AAEL013045,,
gene12793,AAEL013058,,
gene12794,AAEL013046,,
gene12795,AAEL013057,,
gene12796,AAEL013051,,
gene12797,AAEL013054,,
gene12798,AAEL013047,,
gene12799,AAEL013043,,
gene128,AAEL003001,,
gene1280,AAEL002197,,
gene12800,AAEL013044,,
gene12801,AAEL013048,,
gene12802,AAEL013056,,
gene12803,AAEL012736,,
gene12804,AAEL012739,,
gene12805,AAEL012738,,
gene12806,AAEL012743,,
gene12807,AAEL012735,,
gene12808,AAEL012741,,
gene12809,AAEL012742,,
gene1281,AAEL002222,,
gene12810,AAEL012744,,
gene12811,AAEL012734,,
gene12812,AAEL012740,,
gene12813,AAEL012737,,
gene12814,AAEL011492,,
gene12818,AAEL016971,,
gene1282,AAEL002225,,
gene12820,AAEL011483,,
gene12821,AAEL011497,,
gene12822,AAEL011493,,
gene12823,AAEL011498,,
gene12824,AAEL011495,,
gene12826,AAEL011489,,
gene12827,AAEL011496,,
gene12829,AAEL011486,,
gene1283,AAEL002193,,
gene12830,AAEL011488,,
gene12833,AAEL014241,,
gene12834,AAEL014245,,
gene12835,AAEL014239,,
gene12836,AAEL014240,,
gene12838,AAEL014242,,
gene12839,AAEL014246,,
gene1284,AAEL002246,,
gene12840,AAEL014244,,
gene12841,AAEL014243,,
gene12842,AAEL008721,,
gene12843,AAEL008722,,
gene12844,AAEL008718,,
gene12845,AAEL008719,,
gene12846,AAEL008720,,
gene12847,AAEL008716,,
gene12848,AAEL008717,,
gene12849,AAEL011933,,
gene1285,AAEL002180,,
gene12850,AAEL011936,,
gene12851,AAEL011934,,
gene12852,AAEL011930,,
gene12853,AAEL011935,,
gene12854,AAEL011931,,
gene12855,AAEL007634,,
gene12856,AAEL017280,,
gene12857,AAEL007636,,
gene12858,RU147,,
gene12859,AAEL007633,,
gene1286,AAEL002206,,
gene12860,AAEL007635,,
gene12861,AAEL007637,,
gene12862,AAEL015680,,
gene12863,AAEL003821AAEL003848,,
gene12864,AAEL003864,,
gene12865,AAEL003828,,
gene12866,AAEL003844,,
gene12867,AAEL003815,,
gene12868,AAEL003855,,
gene12869,AAEL003826,,
gene1287,AAEL002217,,
gene12870,AAEL003850,,
gene12871,AAEL003849,,
gene12872,AAEL003832,,
gene12873,AAEL003834,,
gene12874,AAEL003858,,
gene12875,AAEL015681,,
gene12876,AAEL003819,,
gene12877,AAEL003829,,
gene12878,AAEL003863,,
gene12879,AAEL003825,,
gene1288,AAEL002190,,
gene12880,AAEL003836,,
gene12881,AAEL003830,,
gene12882,AAEL003831,,
gene12883,AAEL003816,,
gene12884,AAEL003839,,
gene12885,AAEL003846,,
gene12886,AAEL003852,,
gene12887,AAEL003856,,
gene12888,AAEL003827,,
gene12889,AAEL003822,,
gene1289,AAEL002185,,
gene12890,AAEL003843,,
gene12891,AAEL003823,,
gene12892,AAEL003859,,
gene12893,AAEL003847,,
gene12894,AAEL003845,,
gene12895,AAEL003851,,
gene12896,AAEL003865,,
gene12897,AAEL015679,,
gene12898,AAEL003833,,
gene12899,AAEL003820,,
gene129,AAEL003013,,
gene1290,AAEL002187,,
gene12900,AAEL003860,,
gene12901,AAEL003841,,
gene12902,AAEL015678,,
gene12903,AAEL003866,,
gene12904,AAEL003814,,
gene12905,AAEL003842,,
gene12906,AAEL003857,,
gene12907,AAEL003861,,
gene12908,AAEL003837,,
gene12909,AAEL003838,,
gene1291,AAEL002219,,
gene12910,AAEL003840,,
gene12911,AAEL003818,,
gene12912,AAEL003862,,
gene12913,AAEL003835,,
gene12914,AAEL003817,,
gene12915,AAEL003853,,
gene12916,AAEL003824,,
gene12917,AAEL004908,,
gene12918,AAEL004911,,
gene12919,AAEL004901,,
gene1292,AAEL002207,,
gene12920,AAEL004899,,
gene12921,AAEL004900,,
gene12922,AAEL004906,,
gene12923,AAEL004914,,
gene12924,AAEL004907,,
gene12925,AAEL004916,,
gene12926,AAEL004902,,
gene12927,AAEL004905,,
gene12928,AAEL004897,,
gene12929,AAEL004894,,
gene1293,AAEL002196,,
gene12930,AAEL004898,,
gene12931,AAEL017117,,
gene12932,AAEL004895,,
gene12933,AAEL004913,,
gene12934,AAEL004910,,
gene12935,AAEL004904,,
gene12936,AAEL004915,,
gene12937,AAEL004896,,
gene12938,AAEL004912,,
gene12939,AAEL004903,,
gene1294,AAEL002240,,
gene12940,AAEL004909,,
gene12941,AAEL007361,,
gene12942,AAEL007356,,
gene12943,AAEL007357,,
gene12944,AAEL007352,,
gene12946,AAEL007364,,
gene12947,AAEL007359,,
gene12948,AAEL018139,,
gene12949,AAEL007360,,
gene1295,AAEL002198,,
gene12950,AAEL007350,,
gene12951,AAEL007355,,
gene12952,AAEL007353,,
gene12953,AAEL007351,,
gene12954,AAEL007354,,
gene12955,AAEL007363,,
gene12956,AAEL011711,,
gene12957,AAEL011708,,
gene12958,AAEL011713,,
gene12959,AAEL011710,,
gene1296,AAEL002234,,
gene12960,AAEL011700,,
gene12961,AAEL011704,,
gene12962,AAEL011706,,
gene12963,AAEL011707,,
gene12964,AAEL011714,,
gene12965,AAEL011705,,
gene12966,AAEL011701,,
gene12967,AAEL011712,,
gene12968,AAEL011709,,
gene12969,AAEL011715,,
gene1297,AAEL002224,,
gene12970,AAEL011702,,
gene12971,AAEL011703,,
gene12972,AAEL001526,,
gene12973,AAEL001530,,
gene12974,AAEL001508,,
gene12975,AAEL001537,,
gene12977,AAEL001525,,
gene12978,AAEL001521,,
gene12979,AAEL001514,,
gene1298,AAEL002210AAEL002236,,
gene12980,AAEL001536,,
gene12981,AAEL001529,,
gene12982,AAEL001532,,
gene12983,AAEL001515,,
gene12984,AAEL001522,,
gene12985,AAEL001511,,
gene12986,AAEL001533,,
gene12987,AAEL001535,,
gene12988,AAEL001534,,
gene12989,AAEL001519,,
gene1299,AAEL002228,,
gene12990,AAEL001520,,
gene12991,AAEL001528,,
gene12992,AAEL001531,,
gene12993,AAEL001513,,
gene12994,AAEL001516,,
gene12995,AAEL001524,,
gene12996,AAEL001518,,
gene12997,AAEL001527,,
gene12998,AAEL001512,,
gene12999,AAEL001517,,
gene13,AAEL009970,,
gene130,AAEL003006,,
gene1300,AAEL002204,,
gene13000,AAEL017047,,
gene13001,AAEL001507,,
gene13002,AAEL001509,,
gene13003,AAEL012936,,
gene13004,AAEL012932,,
gene13005,AAEL012940,,
gene13006,AAEL012938,,
gene13007,AAEL012935,,
gene13008,AAEL012939,,
gene13009,AAEL012933,,
gene1301,AAEL002194,,
gene13010,AAEL012941,,
gene13011,AAEL012931,,
gene13012,AAEL012937,,
gene13013,AAEL014499,,
gene13014,AAEL014498,,
gene13015,AAEL014500,,
gene13016,AAEL015000,,
gene13017,AAEL014080,,
gene13019,AAEL007435,,
gene1302,AAEL002230,,
gene13020,AAEL007440,,
gene13021,AAEL007445,,
gene13022,AAEL007443,,
gene13023,AAEL007437,,
gene13024,AAEL007442,,
gene13025,AAEL017387,,
gene13026,AAEL007436,,
gene13027,AAEL007447,,
gene13028,AAEL007452,,
gene13029,AAEL007450,,
gene1303,AAEL002215,,
gene13030,AAEL007453,,
gene13031,AAEL007441,,
gene13032,AAEL007434,,
gene13033,AAEL007448,,
gene13034,AAEL007444,,
gene13035,AAEL007449,,
gene13036,AAEL007446,,
gene13037,AAEL007451,,
gene13038,AAEL007439,,
gene13039,AAEL007438,,
gene1304,AAEL002232,,
gene13040,AAEL015627,,
gene13041,AAEL006092,,
gene13042,AAEL006099,,
gene13043,AAEL006104,,
gene13044,AAEL006096,,
gene13045,AAEL006105,,
gene13046,AAEL006102,,
gene13047,AAEL006091,,
gene13048,AAEL006097,,
gene1305,AAEL002211,,
gene13050,AAEL017225,,
gene13051,AAEL006095,,
gene13052,AAEL006098,,
gene13053,AAEL006093,,
gene13054,AAEL006090,,
gene13056,AAEL006100,,
gene13057,AAEL006094,,
gene13059,AAEL006107,,
gene1306,AAEL002223,,
gene13060,AAEL006101,,
gene13061,AAEL015039,,
gene13062,AAEL015040,,
gene13063,AAEL015041,,
gene13064,AAEL008130,,
gene13065,AAEL008135,,
gene13066,AAEL008126,,
gene13067,AAEL008121,,
gene13068,AAEL008127,,
gene13069,AAEL008119,,
gene1307,AAEL002195,,
gene13070,AAEL008132,,
gene13071,AAEL008124,,
gene13072,AAEL008129,,
gene13073,AAEL008136,,
gene13074,AAEL008123,,
gene13075,AAEL008134,,
gene13076,AAEL008131,,
gene13077,RU148,,
gene13078,AAEL008125,,
gene13079,AAEL008128,,
gene1308,AAEL002235,,
gene13080,AAEL008133,,
gene13081,AAEL008120,,
gene13082,AAEL008122,,
gene13083,AAEL009767,,
gene13084,AAEL009762,,
gene13085,AAEL009766,,
gene13086,AAEL017995,,
gene13087,AAEL009763,,
gene13088,AAEL009765,,
gene13089,AAEL009764,,
gene1309,AAEL002181,,
gene13090,AAEL009769,,
gene13091,AAEL014544,,
gene13093,AAEL017291,,
gene13094,AAEL007062,,
gene13095,AAEL007055,,
gene13096,AAEL007052,,
gene13097,AAEL007067,,
gene13098,AAEL007053,,
gene13099,AAEL007069,,
gene131,AAEL002997,,
gene1310,AAEL017402,,
gene13100,AAEL007064,,
gene13101,AAEL007046,,
gene13102,AAEL007059,,
gene13103,AAEL007065,,
gene13104,AAEL007050,,
gene13105,AAEL007066,,
gene13106,AAEL007048,,
gene13107,AAEL007044,,
gene13108,AAEL007049,,
gene13109,AAEL007070,,
gene1311,AAEL002221,,
gene13110,AAEL007057,,
gene13111,AAEL007061,,
gene13112,AAEL007063,,
gene13113,AAEL007041,,
gene13114,AAEL007043,,
gene13115,AAEL007047,,
gene13116,AAEL007068,,
gene13117,AAEL007060,,
gene13118,AAEL007058,,
gene13119,AAEL007045,,
gene1312,AAEL002189,,
gene13120,AAEL007042,,
gene13121,AAEL007054,,
gene13122,AAEL007051,,
gene13123,AAEL007056,,
gene13124,AAEL015375,,
gene13125,AAEL013957,,
gene13126,AAEL011398,,
gene13127,AAEL011397,,
gene13128,AAEL011393,,
gene13129,AAEL011394,,
gene1313,AAEL002182,,
gene13130,AAEL011391,,
gene13131,AAEL011395,,
gene13132,AAEL011392,,
gene13133,AAEL011396,,
gene13134,AAEL011399,,
gene13135,AAEL012091,,
gene13136,AAEL012093,,
gene13137,AAEL012092,,
gene13138,AAEL010192,,
gene13139,AAEL010190,,
gene1314,AAEL002243,,
gene13140,AAEL010187,,
gene13141,AAEL010189,,
gene13142,AAEL010191,,
gene13143,AAEL010188,,
gene13144,AAEL009070,,
gene13145,AAEL009073,,
gene13146,AAEL009071,,
gene13147,AAEL009072,,
gene13148,AAEL014989,,
gene13149,AAEL014992,,
gene1315,AAEL002183,,
gene13150,AAEL014990,,
gene13151,AAEL014991,,
gene13152,AAEL015240,,
gene13153,AAEL015241,,
gene13154,AAEL015242,,
gene13155,AAEL015067,,
gene13156,AAEL013828,,
gene13157,AAEL013825,,
gene13158,AAEL013827,,
gene13159,AAEL013826,,
gene1316,RU011,,
gene13160,AAEL015252,,
gene13161,AAEL015253,,
gene13162,AAEL015254,,
gene13163,AAEL013361,,
gene13164,AAEL013368,,
gene13165,AAEL013362,,
gene13166,AAEL013360,,
gene13167,AAEL013367,,
gene13168,AAEL013363,,
gene13169,AAEL013365,,
gene1317,AAEL002220,,
gene13170,AAEL013364,,
gene13171,AAEL018275,,
gene13172,AAEL014406,,
gene13173,AAEL014399,,
gene13174,AAEL014398,,
gene13175,AAEL014402,,
gene13176,AAEL014397,,
gene13177,AAEL014407,,
gene13178,AAEL014405,,
gene13179,AAEL010328,,
gene1318,AAEL002233,,
gene13180,AAEL010329,,
gene13181,AAEL010330,,
gene13182,AAEL010332,,
gene13183,AAEL010331,,
gene13184,AAEL013496,,
gene13185,AAEL013502,,
gene13186,AAEL013497,,
gene13187,AAEL013503,,
gene13188,AAEL013499,,
gene13189,AAEL013501,,
gene1319,AAEL002229,,
gene13190,AAEL013494,,
gene13191,AAEL013500,,
gene13192,AAEL013498,,
gene13193,AAEL013492,,
gene13194,AAEL013495,,
gene13195,AAEL013493,,
gene13196,AAEL013268,,
gene13197,AAEL013267,,
gene13198,AAEL013266,,
gene13199,AAEL008056,,
gene132,AAEL003012,,
gene1320,AAEL002201,,
gene13201,AAEL008063,,
gene13202,AAEL008062,,
gene13203,AAEL008066,,
gene13205,AAEL008068,,
gene13206,AAEL008058,,
gene13207,AAEL008072,,
gene13208,AAEL008061,,
gene13209,AAEL008059,,
gene1321,AAEL011630,,
gene13210,AAEL008074,,
gene13211,AAEL008073,,
gene13212,AAEL008071,,
gene13213,AAEL008057,,
gene13214,AAEL008064,,
gene13215,AAEL008067,,
gene13216,AAEL008069,,
gene13217,AAEL018152,,
gene13218,AAEL015592,,
gene13219,AAEL012211,,
gene1322,AAEL011634,,
gene13220,AAEL012210,,
gene13221,AAEL012209,,
gene13222,AAEL012212,,
gene13223,AAEL012207,,
gene13224,AAEL012208,,
gene13225,AAEL012206,,
gene13226,AAEL017392,,
gene13227,AAEL006256,,
gene13228,AAEL006255,,
gene13229,RU149,,
gene1323,AAEL011637,,
gene13230,AAEL006248,,
gene13231,AAEL018028,,
gene13232,AAEL006261,,
gene13233,AAEL006259,,
gene13234,AAEL006253,,
gene13235,AAEL006260,,
gene13237,AAEL006251,,
gene13238,AAEL006249,,
gene13239,AAEL006245,,
gene1324,AAEL011642,,
gene13240,AAEL006257,,
gene13241,AAEL006247,,
gene13242,AAEL006254,,
gene13243,AAEL013374,,
gene13244,AAEL013375,,
gene13245,AAEL014196,,
gene13246,AAEL014195,,
gene13248,AAEL012260,,
gene13249,AAEL018233,,
gene1325,RU012,,
gene13250,AAEL012259,,
gene13251,AAEL012258,,
gene13252,AAEL014526,,
gene13253,AAEL014529,,
gene13254,AAEL014527,,
gene13255,AAEL014528,,
gene13256,AAEL015666,,
gene13257,AAEL014766,,
gene13258,AAEL014765,,
gene13259,AAEL015561,,
gene1326,AAEL011640,,
gene13260,AAEL014966,,
gene13261,AAEL013821,,
gene13262,AAEL013815,,
gene13263,AAEL013820,,
gene13264,AAEL013814,,
gene13265,AAEL013817,,
gene13266,AAEL013813,,
gene13267,AAEL013822,,
gene13268,AAEL013818,,
gene13269,AAEL013819,,
gene1327,AAEL011641,,
gene13270,AAEL013816,,
gene13271,AAEL015654,,
gene13272,AAEL012054,,
gene13273,AAEL012045,,
gene13274,AAEL012044,,
gene13275,AAEL012049,,
gene13276,AAEL012047,,
gene13277,AAEL017470,,
gene13278,AAEL012051,,
gene13279,AAEL012050,,
gene1328,AAEL011633,,
gene13280,AAEL012053,,
gene13281,AAEL012046,,
gene13282,AAEL012056,,
gene13283,AAEL012042,,
gene13284,AAEL012055,,
gene13285,AAEL012052,,
gene13286,AAEL012048,,
gene13287,AAEL012043,,
gene13288,AAEL015452,,
gene13289,AAEL012851,,
gene1329,AAEL011627,,
gene13290,AAEL017205,,
gene13291,AAEL012857,,
gene13292,AAEL012852,,
gene13293,AAEL012858,,
gene13294,AAEL012853,,
gene13295,AAEL012856,,
gene13296,AAEL012854,,
gene13297,AAEL012855,,
gene13298,AAEL011588,,
gene13299,AAEL011592,,
gene133,AAEL003003,,
gene1330,AAEL011632,,
gene13300,AAEL011590,,
gene13301,AAEL011587,,
gene13302,AAEL011589,,
gene13303,AAEL011593,,
gene13304,AAEL011591,,
gene13305,AAEL015223,,
gene13306,AAEL015222,,
gene13307,AAEL014165,,
gene13308,AAEL014164,,
gene13309,AAEL014163,,
gene1331,AAEL011638,,
gene13311,AAEL010728,,
gene13312,AAEL010729,,
gene13313,AAEL010727,,
gene13314,AAEL010730,,
gene13315,AAEL006444,,
gene13316,AAEL006452,,
gene13317,AAEL006437,,
gene13318,AAEL006442,,
gene13319,AAEL006435,,
gene1332,AAEL011639,,
gene13320,AAEL017266,,
gene13321,AAEL006443,,
gene13322,AAEL006449,,
gene13323,AAEL006440,,
gene13324,AAEL006448,,
gene13325,AAEL006447,,
gene13326,AAEL006445,,
gene13327,AAEL006433,,
gene13328,AAEL006432,,
gene13329,AAEL006446,,
gene1333,AAEL011626,,
gene13330,AAEL006439,,
gene13331,AAEL006438,,
gene13332,AAEL006434,,
gene13333,AAEL006451,,
gene13334,AAEL006436,,
gene13335,AAEL006450,,
gene13336,AAEL006441,,
gene13337,AAEL010455,,
gene13338,AAEL010449,,
gene13339,AAEL010452,,
gene1334,AAEL011635,,
gene13340,AAEL010454,,
gene13341,AAEL018193,,
gene13342,AAEL010453,,
gene13343,AAEL010459,,
gene13344,AAEL010443,,
gene13345,AAEL010451,,
gene13346,AAEL010442,,
gene13347,AAEL010448,,
gene13348,AAEL010446,,
gene13349,AAEL010445,,
gene1335,AAEL011628,,
gene13350,AAEL010450,,
gene13351,AAEL010456,,
gene13352,AAEL010444,,
gene13353,AAEL010447,,
gene13354,AAEL018192,,
gene13355,AAEL015190,,
gene13356,AAEL007341,,
gene13357,AAEL007336,,
gene13358,AAEL007324,,
gene13359,AAEL007331,,
gene1336,AAEL011636,,
gene13360,AAEL017035,,
gene13361,AAEL007343,,
gene13362,AAEL007326,,
gene13363,AAEL018138,,
gene13364,AAEL007333,,
gene13365,AAEL007338,,
gene13366,AAEL007335,,
gene13367,AAEL007344,,
gene13368,AAEL007328,,
gene13369,AAEL007345,,
gene1337,AAEL011629,,
gene13370,AAEL007334,,
gene13371,AAEL007339,,
gene13372,AAEL007342,,
gene13373,AAEL007327,,
gene13374,AAEL007347,,
gene13375,AAEL007325,,
gene13376,AAEL017552,,
gene13377,AAEL007329,,
gene13378,AAEL007330,,
gene13379,RU150,,
gene1338,AAEL000631,,
gene13380,AAEL007332,,
gene13381,AAEL007349,,
gene13382,AAEL013309,,
gene13383,AAEL018259,,
gene13384,AAEL013314,,
gene13385,AAEL013311,,
gene13386,AAEL013312,,
gene13387,AAEL013310,,
gene13388,AAEL014447,,
gene13389,AAEL014448,,
gene1339,AAEL017511,,
gene13390,AAEL014450,,
gene13391,AAEL014449,,
gene13392,AAEL015390,,
gene13393,AAEL015389,,
gene13394,AAEL012180,,
gene13395,AAEL012183,,
gene13396,AAEL012186,,
gene13397,AAEL012182,,
gene13398,AAEL012187,,
gene13399,AAEL012181,,
gene134,AAEL002990,,
gene1340,AAEL000601,,
gene13400,AAEL012184,,
gene13401,AAEL012185,,
gene13402,AAEL002359,,
gene13403,AAEL002332,,
gene13404,AAEL002362,,
gene13405,AAEL002339,,
gene13406,AAEL002350,,
gene13407,AAEL002321,,
gene13408,AAEL017440,,
gene13409,AAEL002345,,
gene1341,AAEL000632,,
gene13410,AAEL002353,,
gene13411,AAEL002347,,
gene13412,AAEL002342,,
gene13413,AAEL002335,,
gene13414,AAEL002340,,
gene13415,RU151,,
gene13416,AAEL002326_2,,
gene13417,AAEL002348,,
gene13418,AAEL002322,,
gene13419,AAEL002341,,
gene1342,AAEL018348,,
gene13420,AAEL002327,,
gene13421,AAEL002346,,
gene13422,AAEL002351,,
gene13423,AAEL002356,,
gene13424,AAEL002333,,
gene13425,AAEL002360,,
gene13426,AAEL002331,,
gene13427,AAEL002325,,
gene13428,AAEL002338,,
gene13429,AAEL002361,,
gene1343,AAEL000621,,
gene13430,AAEL002364,,
gene13431,AAEL018057,,
gene13432,AAEL002349,,
gene13433,AAEL002324,,
gene13434,AAEL002344,,
gene13435,AAEL002354,,
gene13436,AAEL002334,,
gene13437,AAEL002343,,
gene13438,AAEL002355,,
gene13439,AAEL002357,,
gene1344,AAEL018023,,
gene13440,AAEL002329,,
gene13441,AAEL002358,,
gene13442,AAEL002337,,
gene13443,AAEL002330,,
gene13444,AAEL002265,,
gene13445,AAEL002266,,
gene13446,AAEL002249,,
gene13447,AAEL002256,,
gene13448,AAEL002250,,
gene13449,AAEL002267,,
gene1345,AAEL000629,,
gene13450,AAEL002260,,
gene13451,AAEL002258,,
gene13452,AAEL002279,,
gene13453,AAEL002264,,
gene13454,AAEL002248,,
gene13455,AAEL002262,,
gene13456,AAEL002277,,
gene13457,AAEL002276,,
gene13458,AAEL002272,,
gene13459,AAEL002254,,
gene1346,AAEL000599,,
gene13460,RU152,,
gene13461,AAEL002263,,
gene13462,AAEL002279,,
gene13463,AAEL002278,,
gene13464,AAEL002273,,
gene13465,AAEL002257,,
gene13466,AAEL002255,,
gene13467,AAEL002275,,
gene13468,AAEL002271,,
gene13469,AAEL002253,,
gene1347,AAEL000615,,
gene13470,AAEL002252,,
gene13471,AAEL002269,,
gene13472,AAEL002261,,
gene13473,AAEL002251,,
gene13474,AAEL002247,,
gene13475,AAEL002259,,
gene13476,AAEL002270,,
gene13477,AAEL002274,,
gene13478,AAEL015316,,
gene13479,AAEL015315,,
gene1348,AAEL000626,,
gene13480,AAEL006542,,
gene13481,AAEL006559,,
gene13482,AAEL006560,,
gene13483,AAEL006553,,
gene13484,AAEL006548,,
gene13485,AAEL006539,,
gene13486,AAEL006540,,
gene13487,AAEL006550,,
gene13488,AAEL006556,,
gene13489,AAEL006552,,
gene1349,AAEL000623,,
gene13490,AAEL006541,,
gene13491,RU153,,
gene13492,AAEL006566,,
gene13493,AAEL006537,,
gene13494,AAEL006562,,
gene13495,AAEL006543,,
gene13496,AAEL006563,,
gene13497,AAEL006546,,
gene13498,AAEL006536,,
gene13499,AAEL006558,,
gene135,AAEL017386,,
gene1350,AAEL018024,,
gene13500,AAEL006551,,
gene13501,AAEL006547,,
gene13502,AAEL018119,,
gene13503,AAEL006555,,
gene13504,AAEL006561,,
gene13505,AAEL006544,,
gene13506,AAEL006549,,
gene13507,AAEL006564,,
gene13508,AAEL006557,,
gene13509,AAEL006538,,
gene1351,AAEL000605,,
gene13510,AAEL017516,,
gene13511,AAEL006545,,
gene13512,AAEL009549,,
gene13513,AAEL009546,,
gene13514,AAEL009544,,
gene13515,AAEL009548,,
gene13516,AAEL009547,,
gene13517,AAEL009550,,
gene13518,AAEL014001,,
gene13519,AAEL014000,,
gene1352,AAEL000612,,
gene13520,AAEL007727,,
gene13521,AAEL007720,,
gene13522,AAEL007717,,
gene13523,AAEL018146,,
gene13524,AAEL007719,,
gene13525,AAEL007725,,
gene13526,AAEL007718,,
gene13527,AAEL007715,,
gene13528,AAEL007712,,
gene13529,AAEL007726,,
gene13530,AAEL007711,,
gene13531,AAEL007714,,
gene13532,AAEL007713,,
gene13533,AAEL007724,,
gene13534,RU154,,
gene13535,AAEL017004,,
gene13536,AAEL007722,,
gene13537,AAEL007716,,
gene13538,AAEL015602,,
gene13539,AAEL009154,,
gene1354,AAEL000604,,
gene13540,AAEL009160,,
gene13541,AAEL009156,,
gene13542,AAEL009150,,
gene13543,AAEL018172,,
gene13544,AAEL009153,,
gene13545,AAEL009149,,
gene13546,AAEL009151,,
gene13547,AAEL009162,,
gene13548,AAEL009158,,
gene13549,AAEL009157,,
gene1355,AAEL000611,,
gene13550,AAEL009159,,
gene13551,AAEL009155,,
gene13552,AAEL010635,,
gene13553,AAEL010638,,
gene13554,AAEL010644,,
gene13555,AAEL010639,,
gene13556,AAEL010633,,
gene13557,AAEL010634,,
gene13558,AAEL010643,,
gene13559,AAEL010637,,
gene1356,AAEL018350,,
gene13560,AAEL010645,,
gene13561,AAEL010641,,
gene13562,AAEL010636,,
gene13563,AAEL010640,,
gene13564,AAEL010642,,
gene13565,AAEL015598,,
gene13566,AAEL014265,,
gene13567,AAEL014269,,
gene13568,AAEL017503,,
gene13569,AAEL014268,,
gene1357,AAEL000602,,
gene13570,AAEL014271,,
gene13571,AAEL014267,,
gene13572,AAEL014266,,
gene13574,AAEL004128,,
gene13575,AAEL004133,,
gene13576,AAEL004143,,
gene13577,AAEL004132,,
gene13578,AAEL004137,,
gene13579,AAEL004148,,
gene1358,AAEL000607,,
gene13581,AAEL004123,,
gene13582,AAEL018312,,
gene13583,AAEL004121,,
gene13584,AAEL004140,,
gene13585,AAEL017150,,
gene13586,AAEL004122,,
gene13587,AAEL004146,,
gene13588,AAEL004135,,
gene13589,AAEL004141,,
gene1359,AAEL018349,,
gene13590,AAEL004131,,
gene13591,AAEL004134,,
gene13592,AAEL004129,,
gene13593,AAEL004147,,
gene13594,AAEL004127,,
gene13595,AAEL004136,,
gene13596,AAEL004130,,
gene13597,AAEL004142,,
gene13598,AAEL004138,,
gene13599,AAEL004124,,
gene136,AAEL003015,,
gene13600,AAEL004144,,
gene13601,AAEL004126,,
gene13602,AAEL004125,,
gene13603,AAEL012404,,
gene13604,AAEL007573,,
gene13605,AAEL007575,,
gene13606,AAEL007582,,
gene13607,AAEL007578,,
gene13608,AAEL007579,,
gene13609,AAEL007569,,
gene13610,AAEL007574,,
gene13611,AAEL007570,,
gene13612,AAEL007571,,
gene13613,AAEL007581,,
gene13614,AAEL007580,,
gene13615,AAEL007576,,
gene13616,AAEL007572,,
gene13617,AAEL007577,,
gene13618,AAEL012355,,
gene13619,AAEL012352,,
gene1362,AAEL000609,,
gene13620,AAEL012351,,
gene13621,AAEL012354,,
gene13622,AAEL012353,,
gene13623,AAEL017526,,
gene13624,AAEL011754,,
gene13625,AAEL011757,,
gene13626,AAEL011748,,
gene13627,AAEL011751,,
gene13628,AAEL011750,,
gene13629,AAEL011759,,
gene1363,AAEL018022,,
gene13630,AAEL011753,,
gene13631,AAEL011758,,
gene13632,AAEL011749,,
gene13633,AAEL011752,,
gene13634,AAEL011756,,
gene13635,AAEL011755,,
gene13636,AAEL007930,,
gene13637,AAEL007941,,
gene13638,AAEL007934,,
gene13639,AAEL007929,,
gene1364,AAEL017027,,
gene13640,AAEL007936,,
gene13641,AAEL007932,,
gene13642,AAEL007938,,
gene13643,AAEL007931,,
gene13644,AAEL007939,,
gene13645,AAEL018049,,
gene13646,AAEL007942,,
gene13647,AAEL007943,,
gene13648,AAEL011011,,
gene13649,AAEL011008,,
gene1365,RU013,,
gene13650,AAEL011009,,
gene13651,AAEL011010,,
gene13652,AAEL011007,,
gene13653,AAEL009565,,
gene13654,AAEL009567,,
gene13655,AAEL009562,,
gene13656,AAEL009564,,
gene13657,AAEL009570,,
gene13658,AAEL009563,,
gene13659,AAEL009560,,
gene1366,AAEL000600,,
gene13660,AAEL009566,,
gene13661,AAEL009568,,
gene13662,AAEL009561,,
gene13663,AAEL009569,,
gene13664,AAEL009559,,
gene13665,AAEL015055,,
gene13666,AAEL003316,,
gene13667,AAEL003293,,
gene13668,AAEL017502,,
gene13669,AAEL003289,,
